enzymes	enzyme	complexes	reactions	direction	compartment	complexes_keff	complex_keff	enzyme_keff
enzyme_NRPPHRCHR1ERx_rev_pc	enzyme_NRPPHRCHR1ERx_rev	cplx_COMPLEX_CYB5R3_B5A_pc;cplx_COMPLEX_CYB5R3_B5B_pc;cplx_MONOMER_CYB5R3_pc	NRPPHRCHR1ERx	reverse	pc	cplx_COMPLEX_CYB5R3_B5A_pc(0);cplx_COMPLEX_CYB5R3_B5B_pc(0);cplx_MONOMER_CYB5R3_pc(0)	0;0;0	234000.0
enzyme_NRPPHRQ1ERx_L_fwd_pc	enzyme_NRPPHRQ1ERx_L_fwd	cplx_COMPLEX_CYB5R3_B5A_pc;cplx_COMPLEX_CYB5R3_B5B_pc;cplx_MONOMER_CYB5R3_pc	NRPPHRQ1ERx_L	forward	pc	cplx_COMPLEX_CYB5R3_B5A_pc(135310.99365450782);cplx_COMPLEX_CYB5R3_B5B_pc(155183.4697183303);cplx_MONOMER_CYB5R3_pc(90411.35028515445)	135310.99365450782;155183.4697183303;90411.35028515445	234000.0
enzyme_NRPPHRQ1ERx_L_rev_pc	enzyme_NRPPHRQ1ERx_L_rev	cplx_COMPLEX_CYB5R3_B5A_pc;cplx_COMPLEX_CYB5R3_B5B_pc;cplx_MONOMER_CYB5R3_pc	NRPPHRQ1ERx_L	reverse	pc	cplx_COMPLEX_CYB5R3_B5A_pc(0);cplx_COMPLEX_CYB5R3_B5B_pc(0);cplx_MONOMER_CYB5R3_pc(0)	0;0;0	234000.0
enzyme_CYTBFADSD5_20_8Z11Z14Z17Z_fwd_pc	enzyme_CYTBFADSD5_20_8Z11Z14Z17Z_fwd	cplx_COMPLEX_FADS1_CYB5A_pc;cplx_COMPLEX_FADS1_CYB5B_pc	CYTBFADSD5_20_8Z11Z14Z17Z	forward	pc	cplx_COMPLEX_FADS1_CYB5A_pc(171880.54621691623);cplx_COMPLEX_FADS1_CYB5B_pc(190342.27850157375)	171880.54621691623;190342.27850157375	234000.0
enzyme_CYTBFADSD5_20_8Z11Z14Z17Z_rev_pc	enzyme_CYTBFADSD5_20_8Z11Z14Z17Z_rev	cplx_COMPLEX_FADS1_CYB5A_pc;cplx_COMPLEX_FADS1_CYB5B_pc	CYTBFADSD5_20_8Z11Z14Z17Z	reverse	pc	cplx_COMPLEX_FADS1_CYB5A_pc(0);cplx_COMPLEX_FADS1_CYB5B_pc(0)	0;0	234000.0
enzyme_CYTBFADSD5_20_8Z11Z14Z_fwd_pc	enzyme_CYTBFADSD5_20_8Z11Z14Z_fwd	cplx_COMPLEX_FADS1_CYB5A_pc;cplx_COMPLEX_FADS1_CYB5B_pc	CYTBFADSD5_20_8Z11Z14Z	forward	pc	cplx_COMPLEX_FADS1_CYB5A_pc(171880.54621691623);cplx_COMPLEX_FADS1_CYB5B_pc(190342.27850157375)	171880.54621691623;190342.27850157375	234000.0
enzyme_CYTBFADSD5_20_8Z11Z14Z_rev_pc	enzyme_CYTBFADSD5_20_8Z11Z14Z_rev	cplx_COMPLEX_FADS1_CYB5A_pc;cplx_COMPLEX_FADS1_CYB5B_pc	CYTBFADSD5_20_8Z11Z14Z	reverse	pc	cplx_COMPLEX_FADS1_CYB5A_pc(0);cplx_COMPLEX_FADS1_CYB5B_pc(0)	0;0	234000.0
enzyme_CYTBFADSD6_18_9Z12Z15Z_fwd_pc	enzyme_CYTBFADSD6_18_9Z12Z15Z_fwd	cplx_COMPLEX_FADS2_CYB5A_pc;cplx_COMPLEX_FADS2_CYB5B_pc	CYTBFADSD6_18_9Z12Z15Z	forward	pc	cplx_COMPLEX_FADS2_CYB5A_pc(172387.4844333564);cplx_COMPLEX_FADS2_CYB5B_pc(190832.2971568065)	172387.4844333564;190832.2971568065	234000.0
enzyme_CYTBFADSD6_18_9Z12Z15Z_rev_pc	enzyme_CYTBFADSD6_18_9Z12Z15Z_rev	cplx_COMPLEX_FADS2_CYB5A_pc;cplx_COMPLEX_FADS2_CYB5B_pc	CYTBFADSD6_18_9Z12Z15Z	reverse	pc	cplx_COMPLEX_FADS2_CYB5A_pc(0);cplx_COMPLEX_FADS2_CYB5B_pc(0)	0;0	234000.0
enzyme_CYTBFADSD6_18_9Z12Z_fwd_pc	enzyme_CYTBFADSD6_18_9Z12Z_fwd	cplx_COMPLEX_FADS2_CYB5A_pc;cplx_COMPLEX_FADS2_CYB5B_pc	CYTBFADSD6_18_9Z12Z	forward	pc	cplx_COMPLEX_FADS2_CYB5A_pc(172387.4844333564);cplx_COMPLEX_FADS2_CYB5B_pc(190832.2971568065)	172387.4844333564;190832.2971568065	234000.0
enzyme_CYTBFADSD6_18_9Z12Z_rev_pc	enzyme_CYTBFADSD6_18_9Z12Z_rev	cplx_COMPLEX_FADS2_CYB5A_pc;cplx_COMPLEX_FADS2_CYB5B_pc	CYTBFADSD6_18_9Z12Z	reverse	pc	cplx_COMPLEX_FADS2_CYB5A_pc(0);cplx_COMPLEX_FADS2_CYB5B_pc(0)	0;0	234000.0
enzyme_CYTBFADSD6_18_9Z_fwd_pc	enzyme_CYTBFADSD6_18_9Z_fwd	cplx_COMPLEX_FADS2_CYB5A_pc;cplx_COMPLEX_FADS2_CYB5B_pc	CYTBFADSD6_18_9Z	forward	pc	cplx_COMPLEX_FADS2_CYB5A_pc(172387.4844333564);cplx_COMPLEX_FADS2_CYB5B_pc(190832.2971568065)	172387.4844333564;190832.2971568065	234000.0
enzyme_CYTBFADSD6_18_9Z_rev_pc	enzyme_CYTBFADSD6_18_9Z_rev	cplx_COMPLEX_FADS2_CYB5A_pc;cplx_COMPLEX_FADS2_CYB5B_pc	CYTBFADSD6_18_9Z	reverse	pc	cplx_COMPLEX_FADS2_CYB5A_pc(0);cplx_COMPLEX_FADS2_CYB5B_pc(0)	0;0	234000.0
enzyme_CYTBFADSD6_20_11Z14Z17Z_fwd_pc	enzyme_CYTBFADSD6_20_11Z14Z17Z_fwd	cplx_COMPLEX_FADS2_CYB5A_pc;cplx_COMPLEX_FADS2_CYB5B_pc	CYTBFADSD6_20_11Z14Z17Z	forward	pc	cplx_COMPLEX_FADS2_CYB5A_pc(172387.4844333564);cplx_COMPLEX_FADS2_CYB5B_pc(190832.2971568065)	172387.4844333564;190832.2971568065	234000.0
enzyme_CYTBFADSD6_20_11Z14Z17Z_rev_pc	enzyme_CYTBFADSD6_20_11Z14Z17Z_rev	cplx_COMPLEX_FADS2_CYB5A_pc;cplx_COMPLEX_FADS2_CYB5B_pc	CYTBFADSD6_20_11Z14Z17Z	reverse	pc	cplx_COMPLEX_FADS2_CYB5A_pc(0);cplx_COMPLEX_FADS2_CYB5B_pc(0)	0;0	234000.0
enzyme_CYTBFADSD6_20_11Z14Z_fwd_pc	enzyme_CYTBFADSD6_20_11Z14Z_fwd	cplx_COMPLEX_FADS2_CYB5A_pc;cplx_COMPLEX_FADS2_CYB5B_pc	CYTBFADSD6_20_11Z14Z	forward	pc	cplx_COMPLEX_FADS2_CYB5A_pc(172387.4844333564);cplx_COMPLEX_FADS2_CYB5B_pc(190832.2971568065)	172387.4844333564;190832.2971568065	234000.0
enzyme_CYTBFADSD6_20_11Z14Z_rev_pc	enzyme_CYTBFADSD6_20_11Z14Z_rev	cplx_COMPLEX_FADS2_CYB5A_pc;cplx_COMPLEX_FADS2_CYB5B_pc	CYTBFADSD6_20_11Z14Z	reverse	pc	cplx_COMPLEX_FADS2_CYB5A_pc(0);cplx_COMPLEX_FADS2_CYB5B_pc(0)	0;0	234000.0
