complex	subunits	compartment	reactions	genes	coefficients	cofactors	notes
cplx_MONOMER_AKR1A1	protein_AKR1A1	c	GULND;GALOR;GHBDHy;3DGRy;SBTRa;ALCD19y;ARABR_Ly;ALR2y;ALR3y;PPDOy;GTHNORDy;SNOCOARD	AKR1A1	1
cplx_MONOMER_AKR1B1	protein_AKR1B1	c	GALOR;6HOPTHPDH;6PTHPDH;ESTRADIOL23Q2ERy;ESTRADIOL34Q2ERy;ESTRONE23Q2ERy;ESTRONE34Q2ERy;3DGRy;SBTRa;ALCD19y;ARABR_Ly;XYLR_Dy;PGH2Ry;ALR2y;ALR3y;LALD_Ly;PPDOy	AKR1B1	1
cplx_MONOMER_AKR1C3	protein_AKR1C3	c	5ADHTRy;ANDRSTNDNRy;ANDRSTRNRy;6PTHPDH2;ESTRADIOL23Q2ERy;ESTRADIOL34Q2ERy;ESTRONE23Q2ERy;ESTRONE34Q2ERy;ESTRONEDHy;PGD2Ry;PGH2Ry;RDH2y;PRGSTRNRy	AKR1C3	1		ASSUMED MONOMER
cplx_HOMODIMER_AKR7A2	protein_AKR7A2	c	GHBDHy;ESTRADIOL23Q2ERy;ESTRADIOL34Q2ERy;ESTRONE23Q2ERy;ESTRONE34Q2ERy;SBTRa;ARABR_Ly;ALR2y;ALR3y;PPDOy	AKR7A2	2
cplx_HOMOOCTOMER_ALAD	protein_ALAD	c	PPBNGS	ALAD	8
cplx_HOMOTETRAMER_ALDH1A1	protein_ALDH1A1	c	ALDD2x;ABUTDx;3DGDH;4H2HXEAL2EDHx;4H2NNEAL2EDHx;BZALDHx;HPTALDHx;HPTEAL2EDHx;HXALDHx;HXEAL2EDHx;MALDHx;NONALDHx;NONEAL2EDHx;OCTALDHx;OCTEAL2EDHx;PPALDHx;RADH1x;RADH2x;RADH3x;RADH4x	ALDH1A1	4
cplx_HOMODIMER_ALDH3A1	protein_ALDH3A1	c	ALDD2x;4H2HXEAL2EDHx;4H2NNEAL2EDHx;BZALDHx;HPTALDHx;HPTEAL2EDHx;HXALDHx;HXEAL2EDHx;NONALDHx;NONEAL2EDHx;OCTALDHx;OCTEAL2EDHx;RBTDG_Dx;34DHALDDx;34DHALDDy;3M4HDXPACx;3M4HDXPACy;ALDD19x;ALDD19y;ALDD2y;MACOXO;34DHXMANDACOXx;34DHXMANDACOXy;4HOXPACDORx;4HOXPACDORy	ALDH3A1	2
cplx_HOMODIMER_ALDH3A2	protein_ALDH3A2	c	ALDD2x;ABUTDx;BAMPPALDOXx;NABTNO;GLYALDD;TMABADH;HPTALDHx;HPTEAL2EDHx;HXALDHx;HXEAL2EDHx;NONALDHx;NONEAL2EDHx;OCTALDHx;OCTEAL2EDHx;PPALDHx;5HOXINDACTOX;HXDCAL2EDHx;HXDCAL2EDHy;HXDCALDHx;HXDCALDHy;GLACOx;FRNSL2E6EDH;IMACTD;MACOXO;MMALNDHx	ALDH3A2	2
cplx_MONOMER_ALDH3B1	protein_ALDH3B1	c	ALDD2x;BAMPPALDOXx;4H2HXEAL2EDHx;4H2NNEAL2EDHx;BZALDHx;HPTALDHx;HPTEAL2EDHx;HXALDHx;HXEAL2EDHx;NONALDHx;NONEAL2EDHx;OCTALDHx;OCTEAL2EDHx;RBTDG_Dx;34DHALDDx;34DHALDDy;3M4HDXPACx;3M4HDXPACy;ALDD19x;ALDD19y;ALDD2y;LCAD;HXDCAL2EDHx;HXDCAL2EDHy;HXDCALDHx;HXDCALDHy;MACOXO;34DHXMANDACOXx;34DHXMANDACOXy;4HOXPACDORx;4HOXPACDORy	ALDH3B1	1		ASSUMED MONOMER
cplx_HOMOTETRAMER_ALDH9A1	protein_ALDH9A1	c	ALDD2x;ABUTDx;BAMPPALDOXx;NABTNO;GLYALDD;BETALDDHx;TMABADH;BZALDHx;HPTALDHx;HPTEAL2EDHx;HXALDHx;HXEAL2EDHx;NONALDHx;NONEAL2EDHx;OCTALDHx;OCTEAL2EDHx;PPALDHx;5HOXINDACTOX;GLACOx;IMACTD;ALDD20x;MMALNDHx	ALDH9A1	4
cplx_HOMOTETRAMER_ALDOA	protein_ALDOA	c	FBA;FBA2;FBA3;FBA6	ALDOA	4
cplx_HOMOTETRAMER_ALDOB	protein_ALDOB	c	FBA;FBA2;FBA3;FBA6	ALDOB	4
cplx_HOMOTETRAMER_ALDOC	protein_ALDOC	c	FBA;FBA2;FBA3;FBA6	ALDOC	4
cplx_HOMODIMER_ALPL	protein_ALPL	c	AHDTPPPH;ALKP;CRTNP;THMMPP	ALPL	2
cplx_HOMODIMER_ALPL	protein_ALPL	pm	CRTNPe;ETHPe;NDPADPe;NTDAMPe;NTPAe;PPAe;PYDXPPe;THMMPPe	ALPL	2
cplx_MONOMER_AMDHD2	protein_AMDHD2	c	AGDC	AMDHD2	1		ASSUMED MONOMER
cplx_HOMOTETRAMER_AMPD3	protein_AMPD3	c	AMPDA	AMPD3	4
cplx_MONOMER_ANKH	protein_ANKH	pm	ATPte;CITt	ANKH	1		ASSUMED MONOMER
cplx_HOMODIMER_ANO6	protein_ANO6	pm	PCSCRt;PSSCRt;LPCSCRt	ANO6	2
cplx_HOMOTETRAMER_APEH	protein_APEH	c	ACMAH	APEH	4
cplx_HOMOTETRAMER_APIP	protein_APIP	c	MDRPD	APIP	4
cplx_HOMODIMER_APRT	protein_APRT	c	ADPT;AICRT	APRT	2
cplx_HOMOTETRAMER_AQP1	protein_AQP1	pm	CO2t;H2Ot;O2t;NH3t;NOt;O2St;NH4t	AQP1	4
cplx_HOMOTETRAMER_AQP3	protein_AQP3	pm	H2Ot;GLYCt;ARSNIt;NH3t;NH4t	AQP3	4
cplx_MONOMER_ARF1	protein_ARF1	c	NTPG	ARF1	1		ASSUMED MONOMER
cplx_MONOMER_ARF6	protein_ARF6	c	NTPG	ARF6	1		ASSUMED MONOMER
cplx_HOMOTRIMER_ARG1	protein_ARG1	c	ARGN	ARG1	3
cplx_MONOMER_ARMT1	protein_ARMT1	c	E4PP;F1PP;F6PP;GAPP;PROTGMT;R5PP	ARMT1	1
cplx_MONOMER_ART4	protein_ART4	pm	PROTRADPRTe	ART4	1		ASSUMED MONOMER
cplx_HOMOTETRAMER_ASL	protein_ASL	c	ARGSL	ASL	4
cplx_COMPLEX_PIK3C3_ATG14	protein_ATG14;protein_BECN1;protein_PIK3C3;protein_PIK3R4	c	PI3K	ATG14;BECN1;PIK3C3;PIK3R4	1;1;1;1
cplx_HOMODIMER_ATIC	protein_ATIC	c	AICART;IMPC	ATIC	2
cplx_HETERODIMER_ATP11A_TMEM30A	protein_ATP11A;protein_TMEM30A	pm	PEFLIPt;PSFLIPt	ATP11A;TMEM30A	1;1
cplx_HETERODIMER_ATP11B_TMEM30A	protein_ATP11B;protein_TMEM30A	pm	PEFLIPt;PSFLIPt	ATP11B;TMEM30A	1;1
cplx_HETERODIMER_ATP11C_TMEM30A	protein_ATP11C;protein_TMEM30A	pm	PEFLIPt;PSFLIPt	ATP11C;TMEM30A	1;1
cplx_HETERODIMER_ATP1_A1B1	protein_ATP1A1;protein_ATP1B1	pm	NaKt	ATP1A1;ATP1B1	1;1
cplx_HETERODIMER_ATP1_A1B2	protein_ATP1A1;protein_ATP1B2	pm	NaKt	ATP1A1;ATP1B2	1;1
cplx_HETERODIMER_ATP1_A1B3	protein_ATP1A1;protein_ATP1B3	pm	NaKt	ATP1A1;ATP1B3	1;1
