enzymes	enzyme	complexes	reactions	direction	compartment	complexes_keff	complex_keff	enzyme_keff
enzyme_PGI_pc	enzyme_PGI	cplx_HOMODIMER_GPI_pc	PGI	forward	pc	cplx_HOMODIMER_GPI_pc(239553.91002602482)	239553.91002602482	234000.0
enzyme_PGI_rev_pc	enzyme_PGI_rev	cplx_HOMODIMER_GPI_pc	PGI	reverse	pc	cplx_HOMODIMER_GPI_pc(239553.91002602482)	239553.91002602482	234000.0
enzyme_GTHOy_pc	enzyme_GTHOy	cplx_HOMODIMER_GSR_pc	GTHOy	forward	pc	cplx_HOMODIMER_GSR_pc(206181.98617006696)	206181.98617006696	234000.0
enzyme_GTHOy_rev_pc	enzyme_GTHOy_rev	cplx_HOMODIMER_GSR_pc	GTHOy	reverse	pc	cplx_HOMODIMER_GSR_pc(0)	0	234000.0
enzyme_PPA_pc	enzyme_PPA	cplx_HOMODIMER_LHPP_pc;cplx_HOMODIMER_PPA1_pc;cplx_HOMODIMER_PPA2_pc;cplx_HOMODIMER_PRUNE1_pc	PPA	forward	pc	cplx_HOMODIMER_LHPP_pc(134192.4287760058);cplx_HOMODIMER_PPA1_pc(146067.91181661797);cplx_HOMODIMER_PPA2_pc(163408.9894374357);cplx_HOMODIMER_PRUNE1_pc(201615.40974593218)	134192.4287760058;146067.91181661797;163408.9894374357;201615.40974593218	234000.0
enzyme_PPA_rev_pc	enzyme_PPA_rev	cplx_HOMODIMER_LHPP_pc;cplx_HOMODIMER_PPA1_pc;cplx_HOMODIMER_PPA2_pc;cplx_HOMODIMER_PRUNE1_pc	PPA	reverse	pc	cplx_HOMODIMER_LHPP_pc(0);cplx_HOMODIMER_PPA1_pc(0);cplx_HOMODIMER_PPA2_pc(0);cplx_HOMODIMER_PRUNE1_pc(0)	0;0;0;0	234000.0
enzyme_GND_pc	enzyme_GND	cplx_HOMODIMER_PGD_pc	GND	forward	pc	cplx_HOMODIMER_PGD_pc(210466.36431154926)	210466.36431154926	234000.0
enzyme_GND_rev_pc	enzyme_GND_rev	cplx_HOMODIMER_PGD_pc	GND	reverse	pc	cplx_HOMODIMER_PGD_pc(0)	0	234000.0
enzyme_PRPPS_pc	enzyme_PRPPS	cplx_HOMODIMER_PRPS1_pc;cplx_HOMODIMER_PRPS1L1_pc;cplx_HOMODIMER_PRPS2_pc	PRPPS	forward	pc	cplx_HOMODIMER_PRPS1_pc(153323.5292514708);cplx_HOMODIMER_PRPS1L1_pc(153330.34650106952);cplx_HOMODIMER_PRPS2_pc(153101.82606470282)	153323.5292514708;153330.34650106952;153101.82606470282	234000.0
enzyme_PRPPS_rev_pc	enzyme_PRPPS_rev	cplx_HOMODIMER_PRPS1_pc;cplx_HOMODIMER_PRPS1L1_pc;cplx_HOMODIMER_PRPS2_pc	PRPPS	reverse	pc	cplx_HOMODIMER_PRPS1_pc(0);cplx_HOMODIMER_PRPS1L1_pc(0);cplx_HOMODIMER_PRPS2_pc(0)	0;0;0	234000.0
enzyme_RPE_pc	enzyme_RPE	cplx_HOMODIMER_RPE_pc	RPE	forward	pc	cplx_HOMODIMER_RPE_pc(119269.59042007285)	119269.59042007285	234000.0
enzyme_RPE_rev_pc	enzyme_RPE_rev	cplx_HOMODIMER_RPE_pc	RPE	reverse	pc	cplx_HOMODIMER_RPE_pc(119269.59042007285)	119269.59042007285	234000.0
enzyme_RPI_pc	enzyme_RPI	cplx_HOMODIMER_RPIA_pc	RPI	forward	pc	cplx_HOMODIMER_RPIA_pc(148146.53450956754)	148146.53450956754	234000.0
enzyme_RPI_rev_pc	enzyme_RPI_rev	cplx_HOMODIMER_RPIA_pc	RPI	reverse	pc	cplx_HOMODIMER_RPIA_pc(148146.53450956754)	148146.53450956754	234000.0
enzyme_SPODM_pc	enzyme_SPODM	cplx_HOMODIMER_SOD1_pc	SPODM	forward	pc	cplx_HOMODIMER_SOD1_pc(85266.52058916105)	85266.52058916105	234000.0
enzyme_SPODM_rev_pc	enzyme_SPODM_rev	cplx_HOMODIMER_SOD1_pc	SPODM	reverse	pc	cplx_HOMODIMER_SOD1_pc(0)	0	234000.0
enzyme_TALA_pc	enzyme_TALA	cplx_HOMODIMER_TALDO1_pc	TALA	forward	pc	cplx_HOMODIMER_TALDO1_pc(162172.37716086843)	162172.37716086843	234000.0
enzyme_TALA_rev_pc	enzyme_TALA_rev	cplx_HOMODIMER_TALDO1_pc	TALA	reverse	pc	cplx_HOMODIMER_TALDO1_pc(162172.37716086843)	162172.37716086843	234000.0
enzyme_TKT1_pc	enzyme_TKT1	cplx_HOMODIMER_TKT_pc	TKT1	forward	pc	cplx_HOMODIMER_TKT_pc(252884.70016170456)	252884.70016170456	234000.0
enzyme_TKT1_rev_pc	enzyme_TKT1_rev	cplx_HOMODIMER_TKT_pc	TKT1	reverse	pc	cplx_HOMODIMER_TKT_pc(252884.70016170456)	252884.70016170456	234000.0
enzyme_TKT2_pc	enzyme_TKT2	cplx_HOMODIMER_TKT_pc	TKT2	forward	pc	cplx_HOMODIMER_TKT_pc(252884.70016170456)	252884.70016170456	234000.0
enzyme_TKT2_rev_pc	enzyme_TKT2_rev	cplx_HOMODIMER_TKT_pc	TKT2	reverse	pc	cplx_HOMODIMER_TKT_pc(252884.70016170456)	252884.70016170456	234000.0
