	metabolites	metatlas	bigg.metabolite	vmhmetabolite
357	FA_hs_24_15Z_e
358	FA_hs_24_6Z9Z12Z15Z18Z21Z_c	MAM00114c	tethex3	tethex3
359	FA_hs_24_6Z9Z12Z15Z18Z21Z_e	MAM00114e	tethex3	tethex3
360	FA_hs_24_6Z9Z12Z15Z18Z_c
361	FA_hs_24_6Z9Z12Z15Z18Z_e	MAM00111c	tetpent6	tetpent6
362	FA_hs_24_9Z12Z15Z18Z21Z_c	MAM00135c	tetpent3	tetpent3
363	FA_hs_24_9Z12Z15Z18Z21Z_e	MAM00135e	tetpent3	tetpent3
364	FA_hs_24_9Z12Z15Z18Z_c
365	FA_hs_24_9Z12Z15Z18Z_e	MAM00132c	tettet6	tettet6
366	FA_hs_26_0_c	MAM01432c	hexc	hexc
367	FA_hs_26_0_e	MAM01432e	hexc	hexc
368	FA_hs_26_17Z_c	MAM03153c	M03153	M03153
369	FA_hs_26_17Z_e	MAM03153e	M03153	M03153
370	FA_hs_c	MAM10005c	Rtotal
371	FAcoa_10_DC_c	MAM03924c	sebcoa	sebcoa
372	FAcoa_12_DC_c	MAM03491c	c12dccoa	c12dccoa
373	FAcoa_16_DC_c	MAM03655c	hexdicoa	hexdicoa
374	FAcoa_4_2M_c
375	FAcoa_4_DC_c	MAM02944c	succoa	succoa
376	FAcoa_5_2E2M_c	MAM02999c	2mb2coa	2mb2coa
377	FAcoa_5_2EDC_c
378	FAcoa_5_2M_c
379	FAcoa_5_3M3OH__S_c	MAM03242c	3ivcoa	3ivcoa
380	FAcoa_5_DC_c	MAM01977c	glutcoa	glutcoa
381	FAcoa_6_DC_c	MAM03409c	adpcoa	adpcoa
382	FAcoa_7_DC_c
383	FAcoa_8_DC_c	MAM03954c	subeac	subeac
384	FAcoa_hs_10_0_c	MAM01650c	dcacoa	dcacoa
385	FAcoa_hs_10_2E6Z_c	MAM03543c	decdicoa	decdicoa
386	FAcoa_hs_10_2E_c
387	FAcoa_hs_10_3OH__S_c	MAM00181c	3hdcoa	3hdcoa
388	FAcoa_hs_11_0_c	MAM03116c	M03116	"['undcoa', 'M03116']"
389	FAcoa_hs_12_0_c	MAM02345c	ddcacoa	ddcacoa
390	FAcoa_hs_12_2E_c	MAM00042c	dd2coa	dd2coa
391	FAcoa_hs_12_3OH__S_c	MAM00174c	3hddcoa	3hddcoa
392	FAcoa_hs_13_0_c	MAM03050c	M03050	"['tridcoa', 'M03050']"
393	FAcoa_hs_14_0_c	MAM02495c	tdcoa	tdcoa
394	FAcoa_hs_14_2E_c	MAM03979c	tetdece1coa	tetdece1coa
395	FAcoa_hs_14_3OH__S_c	MAM00178c	3htdcoa	3htdcoa
396	FAcoa_hs_14_5E8Z3OH__S_c	MAM03267c	3ttetddcoa	3ttetddcoa
397	FAcoa_hs_14_5E8Z_c	MAM03974c	tetdec2coa	tetdec2coa
398	FAcoa_hs_14_5Z_c	MAM01141c	M01141	"['tetde5coa', 'M01141']"
399	FAcoa_hs_14_7Z3OH__S_c	MAM03263c	3tetd7ecoa	3tetd7ecoa
400	FAcoa_hs_14_7Z_c	MAM00118c	HC10784	"['CE0784', 'HC10784']"
401	FAcoa_hs_14_9Z_c	MAM00129c	M00129	M00129
402	FAcoa_hs_15_0_c	MAM02689c	ptdcacoa	ptdcacoa
403	FAcoa_hs_16_0_c	MAM02678c	pmtcoa	pmtcoa
404	FAcoa_hs_16_2E_c	MAM00051c	hdd2coa	hdd2coa
405	FAcoa_hs_16_3OH__R_c
406	FAcoa_hs_16_3OH__S_c
407	FAcoa_hs_16_3O_c
408	FAcoa_hs_16_7E10Z3OH__S_c	MAM03265c	3thexddcoa	3thexddcoa
409	FAcoa_hs_16_7Z_c
410	FAcoa_hs_16_9Z3OH__S_c	MAM03216c	3hdeccoa	3hdeccoa
411	FAcoa_hs_16_9Z_c	MAM02677c	hdcoa	hdcoa
412	FAcoa_hs_17_0_c	MAM02101c	hpdcacoa	hpdcacoa
413	FAcoa_hs_17_10Z_c	MAM00004c	M00004	M00004
414	FAcoa_hs_17_2E_c
415	FAcoa_hs_17_3OH__R_c
416	FAcoa_hs_17_3O_c
417	FAcoa_hs_17_9Z_c	MAM01237c	M01237	M01237
418	FAcoa_hs_18_0_c	MAM02941c	stcoa	stcoa
419	FAcoa_hs_18_11Z_c	MAM01586c	vacccoa	vacccoa
420	FAcoa_hs_18_13Z_c	MAM00020c	M00020	M00020
421	FAcoa_hs_18_2E_c	MAM00057c	od2coa	od2coa
422	FAcoa_hs_18_3OH__R_c	MAM00793c	CE2248	CE2248
423	FAcoa_hs_18_3OH__S_c	MAM03230c	3hodcoa	3hodcoa
424	FAcoa_hs_18_3O_c	MAM00890c	3ohodcoa	3ohodcoa
425	FAcoa_hs_18_6Z9Z12Z15Z_c	MAM00108c	strdnccoa	strdnccoa
426	FAcoa_hs_18_6Z9Z12Z_c	MAM01934c	lnlncgcoa	lnlncgcoa
427	FAcoa_hs_18_6Z9Z_c	MAM00106c	lneldccoa	lneldccoa
428	FAcoa_hs_18_7Z_c	MAM00116c	M00116	M00116
429	FAcoa_hs_18_9E_c	MAM00127c	M00127	M00127
430	FAcoa_hs_18_9Z12Z15Z_c	MAM02390c	lnlncacoa	lnlncacoa
431	FAcoa_hs_18_9Z12Z3OH__S_c	MAM03249c	3ocddcoa	3ocddcoa
432	FAcoa_hs_18_9Z12Z_c	MAM02391c	lnlccoa	lnlccoa
433	FAcoa_hs_18_9Z3OH__S_c	MAM03252c	3octdece1coa	3octdece1coa
434	FAcoa_hs_18_9Z_c	MAM02647c	odecoa	odecoa
435	FAcoa_hs_19_0_c	MAM02612c	M02612	M02612
436	FAcoa_hs_19_2E_c	MAM00054c	M00054	M00054
437	FAcoa_hs_19_3OH__R_c	MAM00790c	M00790	M00790
438	FAcoa_hs_19_3O_c	MAM00887c	M00887	M00887
439	FAcoa_hs_20_0_c	MAM01773c	arachcoa	arachcoa
440	FAcoa_hs_20_11Z14Z17Z3OH__R_c	MAM00086c	M00086	M00086
441	FAcoa_hs_20_11Z14Z17Z3O_c	MAM00869c	M00869	M00869
442	FAcoa_hs_20_11Z14Z17Z_c	MAM00012c	M00012	M00012
443	FAcoa_hs_20_11Z14Z3OH__R_c	MAM00087c	CE4840	CE4840
444	FAcoa_hs_20_11Z14Z3O_c	MAM00870c	CE4841	CE4841
445	FAcoa_hs_20_11Z14Z_c	MAM00009c	CE4843	CE4843
446	FAcoa_hs_20_11Z3OH__R_c	MAM00700c	CE5148	CE5148
447	FAcoa_hs_20_11Z3O_c	MAM00840c	CE5144	CE5144
448	FAcoa_hs_20_11Z_c	MAM00007c	CE5151	CE5151
449	FAcoa_hs_20_13Z3OH__R_c	MAM00702c	M00702	M00702
450	FAcoa_hs_20_13Z3O_c	MAM00843c	M00843	M00843
451	FAcoa_hs_20_13Z_c	MAM00018c	M00018	M00018
452	FAcoa_hs_20_2E11Z14Z17Z_c	MAM03005c	M03005	M03005
453	FAcoa_hs_20_2E11Z14Z_c	MAM03007c	CE4842	CE4842
454	FAcoa_hs_20_2E11Z_c	MAM03012c	CE5150	CE5150
455	FAcoa_hs_20_2E13Z_c	MAM03014c	M03014	M03014
456	FAcoa_hs_20_2E8Z11Z14Z17Z_c	MAM01769c	CE4812	CE4812
457	FAcoa_hs_20_2E8Z11Z14Z_c	MAM03029c	CE5114	CE5114
458	FAcoa_hs_20_2E8Z11Z_c	MAM03017c	M03017	M03017
459	FAcoa_hs_20_2E9Z_c	MAM03018c	M03018	M03018
460	FAcoa_hs_20_2E_c	MAM00043c	CE2243	CE2243
461	FAcoa_hs_20_3OH__R_c	MAM00777c	CE2247	CE2247
462	FAcoa_hs_20_3O_c	MAM00872c	CE2251	CE2251
463	FAcoa_hs_20_5Z8Z11Z14Z17Z_c	MAM00103c	tmndnccoa	tmndnccoa
464	FAcoa_hs_20_5Z8Z11Z14Z_c	MAM01364c	arachdcoa	arachdcoa
465	FAcoa_hs_20_5Z8Z11Z_c	MAM00101c	M00101	M00101
466	FAcoa_hs_20_8Z11Z14Z17Z3OH__R_c	MAM00708c	CE4810	CE4810
