	metabolites	metatlas	bigg.metabolite	vmhmetabolite
1684	protein_pepproW0_c
1685	protein_pepproW180_c
1686	protein_rbllys3p_c
1687	protein_rbllys5p_c
1688	protein_rbllys_c
1689	protein_sadpribcys_c
1690	protein_sdmarg__L_c
1691	protein_ser3oacgam_c
1692	protein_serTAg_c
1693	protein_serTnAg_c
1694	protein_ser__L_c
1695	protein_serpi_c
1696	protein_sucim__D_c
1697	protein_sucim__L_c
1698	protein_thr3oacgam_c
1699	protein_thrTAg_c
1700	protein_thrTnAg_c
1701	protein_thr__L_c
1702	protein_thrpi_c
1703	protein_ttdcacys_c
1704	protein_tyr__L_c
1705	protein_tyrpi_c
1706	protrna_c	MAM02415c		M02415
1707	prpp_c	MAM02806c	prpp	prpp
1708	ps_hs_c	MAM02808c	ps_hs	ps_hs
1709	ps_hs_e	MAM02808e	ps_hs	ps_hs
1710	pser__L_c	MAM00916c	pser__L	pser_L
1711	psump_c
1712	psuri_c
1713	pta_c	MAM03134c	M03134	M03134
1714	pta_e	MAM03134e	M03134	M03134
1715	ptrc_c	MAM02812c	ptrc	ptrc
1716	ptrc_e	MAM02812e	ptrc	ptrc
1717	ptth__R_c	MAM02679c	ptth
1718	pyam5p_c	MAM02816c	pyam5p	pyam5p
1719	pydam_c	MAM02815c	pydam	pydam
1720	pydam_e	MAM02815e	pydam	pydam
1721	pydx5p_c	MAM02814c	pydx5p	pydx5p
1722	pydx_c	MAM02813c	pydx	pydx
1723	pydx_e	MAM02813e	pydx	pydx
1724	pydxn_c	MAM02817c	pydxn	pydxn
1725	pydxn_e	MAM02817e	pydxn	pydxn
1726	pyr_c	MAM02819c	pyr	pyr
1727	pyr_e	MAM02819e	pyr	pyr
1728	pyrrl_c	MAM00557c	CE1944	CE1944
1729	q10_c	MAM03103c	q10	q10
1730	q10h2_c	MAM03102c	q10h2	q10h2
1731	q10h_c
1732	qmp_c
1733	que_c	MAM02820c		M02820
1734	r15bp_c
1735	r1p_c	MAM02844c	r1p	r1p
1736	r5p_c	MAM02845c	r5p	r5p
1737	r5p_e
1738	rbl__D_c	MAM01743c	rbl__D	rbl_D
1739	rblvrd_c
1740	rbt_c	MAM02841c	rbt	rbt
1741	rbt_e	MAM02841e	rbt	rbt
1742	retinal_11Z_c	MAM00290c	retinal_11_cis	retinal_11_cis
1743	retinal_13Z_c	MAM00349c	retinal_cis_13	retinal_cis_13
1744	retinal_9Z_c	MAM01230c	retinal_cis_9	retinal_cis_9
1745	retinal_c	MAM02832c	retinal	retinal
1746	retinol_11Z_c	MAM00291c	retinol_cis_11	retinol_cis_11
1747	retinol_13Z_c	MAM00351c	retinol_cis_13	retinol_cis_13
1748	retinol_9Z_c	MAM01232c	retinol_9_cis	retinol_9_cis
1749	retinol_c	MAM02834c	retinol	retinol
1750	retinol_e	MAM02834e	retinol	retinol
1751	retn_11Z_c
1752	retn_13Z_c
1753	retn_9Z_c
1754	retn_c	MAM02833c	retn	retn
1755	rib__D_c	MAM02843c	rib__D	rib_D
1756	rib__D_e	MAM02843e	rib__D	rib_D
1757	ribflv_c	MAM02842c	ribflv	ribflv
1758	ribflv_e	MAM02842e	ribflv	ribflv
1759	rnam_c	MAM02582c	rnam	rnam
1760	rnamh_c
1761	rnamh_e
1762	ru5p__D_c	MAM02846c	ru5p__D	ru5p_D
1763	s17bp_c	MAM02883c	HC00361	HC00361
1764	s7p_c	MAM02884c	s7p	s7p
1765	saica_c
1766	saica_e
1767	saicar_c	MAM02872c	25aics	25aics
1768	sarcs_c	MAM02880c	sarcs	sarcs
1769	sbt__D_c	MAM01682c	sbt__D	sbt_D
1770	sbt__D_e	MAM01682e	sbt__D	sbt_D
1771	sdhplse_c
1772	selahcys__L_c
1773	selamet__L_c	MAM02882c	seasmet	seasmet
1774	selcys__L_c	MAM02889c	selcys	selcys
1775	selcyst__L_c	MAM02888c	selcyst	selcyst
1776	seldigth_c
1777	selgth_c
1778	selhcys__L_c	MAM02890c	selhcys	selhcys
1779	selmet__L_c	MAM02891c	selmeth	selmeth
1780	seln_c	MAM02886c	seln	seln
1781	seln_e
1782	selni_c	MAM02887c		selni
1783	selni_e
1784	ser__L_c	MAM02896c	ser__L	ser_L
1785	ser__L_e	MAM02896e	ser__L	ser_L
1786	sertrna_c	MAM02416c		M02416
1787	sforgth_c	MAM01837c	Sfglutth	Sfglutth
1788	sgthprostga1_c	MAM02862c		C11304
1789	sgthprostga1_e
1790	sgthprostga2_c	MAM02863c		CE6235
1791	sgthprostga2_e
1792	sgthprostga3_c
1793	sgthprostga3_e
1794	sh1_c
1795	sh1_e
1796	slac__L_c	MAM00179c	sl__L	sl_L
1797	slgth__R_c	MAM00168c	lgt__S	lgt_S
1798	snocys__L_c
1799	snocys__L_e
1800	so2gth_c
1801	so3_c	MAM02949c	so3	so3
1802	so4_c	MAM02946c	so4	so4
1803	so4_e	MAM02946e	so4	so4
1804	sph1p_c	MAM02928c	sph1p	sph1p
1805	sph1p_e	MAM02928e	sph1p	sph1p
1806	sphgn_c	MAM02927c	sphgn	sphgn
1807	sphgn_e	MAM02927e	sphgn	sphgn
1808	sphings_c	MAM02929c	sphings	sphings
1809	sphings_e	MAM02929e	sphings	sphings
1810	sphmyln_hs_c	MAM02908c	sphmyln_hs	sphmyln_hs
1811	sphmyln_hs_e	MAM02908e	sphmyln_hs	sphmyln_hs
1812	sphs1p_c	MAM02930c	sphs1p	sphs1p
1813	sphs1p_e	MAM02930e	sphs1p	sphs1p
1814	spmd_c	MAM02923c	spmd	spmd
1815	spmd_e	MAM02923e	spmd	spmd
1816	sppt_c
1817	sppt_e
1818	sprm_c	MAM02926c	sprm	sprm
1819	sprm_e	MAM02926e	sprm	sprm
1820	srdx1cgth_c
1821	srdx1crd_c
1822	srtn_c	MAM02897c	srtn	srtn
1823	srtn_e	MAM02897e	srtn	srtn
1824	ssgth_c
1825	sso2gth_c
1826	sucacetat_c	MAM03956c	sucacetat	sucacetat
1827	sucaceto_c	MAM03957c	sucaceto	sucaceto
1828	succ_c	MAM02943c	succ	succ
1829	succ_e	MAM02943e	succ	succ
1830	succadn_c
1831	succamp_c	MAM01282c	dcamp	dcamp
1832	sucsal_c	MAM02942c	sucsal	sucsal
1833	tag_hs_c	MAM02959c	tag_hs	tag_hs
1834	taur_c	MAM02961c	taur	taur
1835	taur_e	MAM02961e	taur	taur
1836	tetiodthy__L_c	MAM02998c	thyox__L	thyox_L
1837	tetiodthy__L_e	MAM02998e	thyox__L	thyox_L
1838	thbpt4acam_c	MAM00965c	thbpt4acam	thbpt4acam
1839	thbpt_c	MAM02978c	thbpt	thbpt
1840	thbpt_e	MAM02978e	thbpt	thbpt
1841	thcrm_hs_c	MAM01960c	thcrm_hs	thcrm_hs
1842	thf_c	MAM02980c	thf	thf
1843	thf_e	MAM02980e	thf	thf
1844	thm_c	MAM02982c	thm	thm
1845	thm_e	MAM02982e	thm	thm
1846	thmmp_c	MAM02983c	thmmp	thmmp
1847	thmmp_e	MAM02983e	thmmp	thmmp
1848	thmpp_c	MAM02984c	thmpp	thmpp
1849	thmtp_c	MAM02985c	thmtp	thmtp
1850	thr__L_c	MAM02993c	thr__L	thr_L
1851	thr__L_e	MAM02993e	thr__L	thr_L
1852	thrnt__L_c	MAM02992c	thrnt	thrnt
1853	thrtl__L_c
1854	thrtrna_c	MAM02419c		M02419
1855	thym_c	MAM02997c	thym	thym
1856	thym_e	MAM02997e	thym	thym
1857	thymd_c	MAM02996c	thymd	thymd
1858	thymd_e	MAM02996e	thymd	thymd
1859	trdxox_c	MAM02666c	trdox	trdox
1860	trdxrd_c	MAM02990c	trdrd	trdrd
1861	triiodthy__L_c	MAM03052c	triodthy	triodthy
1862	triiodthy__L_e	MAM03052e	triodthy	triodthy
1863	trnaala_c	MAM03063c		M03063
1864	trnaarg_c	MAM03064c		M03064
1865	trnaasn_c	MAM03065c		M03065
1866	trnaasp_c	MAM03066c		M03066
1867	trnacys_c	MAM03067c		M03067
1868	trnagln_c	MAM03068c		M03068
1869	trnaglu_c	MAM03069c		M03069
1870	trnagly_c	MAM03070c		M03070
1871	trnahis_c	MAM03071c		M03071
1872	trnaile_c	MAM03072c		M03072
1873	trnaleu_c	MAM03073c		M03073
1874	trnalys_c	MAM03074c		M03074
1875	trnamet_c	MAM03075c		M03075
1876	trnaphe_c	MAM03076c		M03076
1877	trnapro_c	MAM03077c		M03077
1878	trnaser_c	MAM03078c		M03078
1879	trnathr_c	MAM03079c		M03079
1880	trnatrp_c	MAM03080c		M03080
1881	trnatyr_c	MAM03081c		M03081
1882	trnaval_c	MAM03082c		M03082
1883	trp__L_c	MAM03089c	trp__L	trp_L
1884	trp__L_e	MAM03089e	trp__L	trp_L
1885	trptrna_c	MAM02420c		M02420
1886	tststerone_c	MAM02969c	tststerone	tststerone
1887	tststerone_e	MAM02969e	tststerone	tststerone
1888	ttdcaACP_c	MAM02972c	myrsACP	myrsACP
1889	ttdceaACP_2E_c	MAM00065c		HC01603
1890	tyr__L_c	MAM03101c	tyr__L	tyr_L
1891	tyr__L_e	MAM03101e	tyr__L	tyr_L
1892	tyrtrna_c	MAM02421c		M02421
1893	tyrtyr_c	MAM04055c	tyrtyr	tyrtyr
1894	tyrtyrtyr_c
1895	uacgam_c	MAM03111c	uacgam	uacgam
1896	udp_c	MAM03106c	udp	udp
1897	udpacgal_c	MAM03110c	udpacgal	udpacgal
1898	udpgal_c	MAM03107c	udpgal	udpgal
1899	udpglc__D_c	MAM03108c	udpg	udpg
1900	ump_c	MAM03114c	ump	ump
1901	upp1_c	MAM03125c	C05767	C05767
1902	upp1_e
1903	upp3_c	MAM03126c		C02469
1904	upp3_e
1905	uppg1_c	MAM03127c	HC01609	HC01609
1906	uppg3_c	MAM03128c	uppg3	uppg3
1907	ura_c	MAM03118c	ura	ura
1908	ura_e	MAM03118e	ura	ura
1909	urate_c	MAM03120c	urate	urate
1910	urate_e	MAM03120e	urate	urate
1911	urateooh_c
1912	urater_c
1913	urea_c	MAM03121c	urea	urea
1914	urea_e	MAM03121e	urea	urea
1915	uri_c	MAM03123c	uri	uri
1916	uri_e	MAM03123e	uri	uri
1917	utp_c	MAM03130c	utp	utp
1918	val__L_c	MAM03135c	val__L	val_L
1919	val__L_e	MAM03135e	val__L	val_L
1920	valleu_c
1921	valpro_c
1922	valtrna_c	MAM02423c		M02423
1923	valtyr_c
1924	vanillac_c	MAM04072c	vanillac	vanillac
1925	vanillac_e	MAM04072e	vanillac	vanillac
1926	vanilpyr_c	MAM04073c	vanilpyr	vanilpyr
1927	xan_c	MAM03148c	xan	xan
1928	xan_e	MAM03148e	xan	xan
1929	xmp_c	MAM03150c	xmp	xmp
1930	xolest2_hs_c	MAM01451c	xolest2_hs	xolest2_hs
1931	xtp_c	MAM03154c	xtp	xtp
1932	xtsn_c	MAM03149c	xtsn	xtsn
1933	xu5p__D_c	MAM01761c	xu5p__D	xu5p_D
1934	xyl__D_c	MAM01758c	xyl__D	xyl_D
1935	xyl__D_e	MAM01758e	xyl__D	xyl_D
1936	xylnt__L_c
1937	xylt_c	MAM03155c	xylt	xylt
1938	xylt_e	MAM03155e	xylt	xylt
1939	xylu__D_c	MAM01759c	xylu__D	xylu_D
1940	xylu__D_e	MAM01759e	xylu__D	xylu_D
1941	xylu__L_c	MAM02425c	xylu__L	xylu_L
1942	zn2_c	MAM03157c	zn2	zn2
1943	zn2_e	MAM03157e	zn2	zn2
1944	ztp_c
	5dpmev_c	MAM00164c		5dpmev
	ipdp_c	MAM02187c		ipdp
	dmpp_c	MAM00164c	dmpp	dmpp
	grdp_c	MAM01953c	grdp	grdp
	frdp_c	MAM01806c	frdp	frdp
	zymstnl_c	MAM01449c	zymstnl	zymstnl
	lthstrl_c	MAM02343c
	Ssq23epx_c	MAM02932c
	zymst_c	MAM03158c	zymst	zymst
	chlstol_c	MAM01066c	chlstol	chlstol
	lanost_c	MAM02336c
