	reactions	metatlas	bigg.reaction	vmhreaction
414	FACOAL_18_9E	MAR00267	HMR_0267	HMR_0267
415	FACOAL_18_9Z	MAR00263	FACOAL181	FACOAL181i
416	FACOAL_18_9Z12Z	MAR00397	FACOAL1821	FACOAL1821
417	FACOAL_18_9Z12Z15Z	MAR00349	FACOAL1832	FACOAL1832
418	FACOAL_19_0	MAR00279	HMR_0279	HMR_0279
419	FACOAL_20_0	MAR00283	FACOAL200	FACOAL200
420	FACOAL_20_11Z	MAR00293	HMR_0293	HMR_0293
421	FACOAL_20_11Z14Z	MAR00429	HMR_0429	HMR_0429
422	FACOAL_20_11Z14Z17Z	MAR00381	HMR_0381	HMR_0381
423	FACOAL_20_13Z	MAR00289	HMR_0289	HMR_0289
424	FACOAL_20_5Z8Z11Z	MAR00305	HMR_0305	HMR_0305
425	FACOAL_20_5Z8Z11Z14Z	MAR00409	FACOAL204	FACOAL204
426	FACOAL_20_5Z8Z11Z14Z17Z	MAR00361	FACOAL205	FACOAL205
427	FACOAL_20_8Z11Z	MAR00301	HMR_0301	HMR_0301
428	FACOAL_20_8Z11Z14Z	MAR00405	FACOAL203	FACOAL203
429	FACOAL_20_8Z11Z14Z17Z	MAR00357	FACOAL2042	FACOAL2042
430	FACOAL_20_9Z	MAR00297	HMR_0297	HMR_0297
431	FACOAL_21_0	MAR00309	HMR_0309	HMR_0309
432	FACOAL_22_0	MAR00313	DOCOSACT	DOCOSACT
433	FACOAL_22_10Z13Z16Z	MAR00437	HMR_0437	HMR_0437
434	FACOAL_22_10Z13Z16Z19Z	MAR00389	HMR_0389	HMR_0389
435	FACOAL_22_11Z	MAR00323	HMR_0323	HMR_0323
436	FACOAL_22_13Z	MAR00319	HMR_0319	HMR_0319
437	FACOAL_22_13Z16Z	MAR00433	HMR_0433	HMR_0433
438	FACOAL_22_13Z16Z19Z	MAR00385	HMR_0385	HMR_0385
439	FACOAL_22_4Z7Z10Z13Z16Z	MAR00425	FACOAL2251	FACOAL2251
440	FACOAL_22_4Z7Z10Z13Z16Z19Z	MAR00377	FACOAL226	FACOAL226
441	FACOAL_22_7Z10Z13Z16Z	MAR00413	FACOAL224	FACOAL224
442	FACOAL_22_7Z10Z13Z16Z19Z	MAR00365	FACOAL2252	FACOAL2252
443	FACOAL_23_0	MAR00327	HMR_0327	HMR_0327
444	FACOAL_24_0	MAR00331		FACOAL240
445	FACOAL_24_12Z15Z18Z21Z	MAR00393	HMR_0393	HMR_0393
446	FACOAL_24_15Z	MAR00337	FACOAL241	FACOAL241
447	FACOAL_24_6Z9Z12Z15Z18Z	MAR00421	FACOAL245_1	FACOAL245_1
448	FACOAL_24_6Z9Z12Z15Z18Z21Z	MAR00373	FACOAL246_1	FACOAL246_1
449	FACOAL_24_9Z12Z15Z18Z	MAR00417	FACOAL244_1	FACOAL244_1
450	FACOAL_24_9Z12Z15Z18Z21Z	MAR00369	FACOAL245_2	FACOAL245_2
451	FACOAL_26_0	MAR00341	FACOAL260	FACOAL260
452	FACOAL_26_17Z	MAR00345	HMR_0345	HMR_0345
453	FACOAL_10_0	MAR00180	HMR_0180	HMR_0180
454	FACOAL_11_0	MAR00184	HMR_0184	HMR_0184
455	FACOAL_4_0	MAR00156	HMR_0156	HMR_0156
456	FACOAL_5_0	MAR00165	HMR_0165	HMR_0165
457	FACOAL_6_0	MAR00168	HMR_0168	HMR_0168
458	FACOAL_7_0	MAR00171	HMR_0171	HMR_0171
459	FACOAL_8_0	MAR00174	FACOAL80	FACOAL80i
460	FACOAL_9_0	MAR00177	HMR_0177	HMR_0177
461	ACOATA	MAR02150	ACOATA	ACOATA
462	FA120ACPH	MAR02172		FA120ACPH
463	FA140ACPH	MAR02177		FA140ACPH
464	FA160ACPH	MAR02182	FA160ACPHi	FA160ACPH
465	FA180ACPH	MAR02329	FA180ACPH	r1317
466	MCOATA	MAR02151	MCOATA	MCOATA
467	3OHAACPDH1	MAR02154		r0681
468	3OHAACPDH2	MAR02158		r0762
469	3OHAACPDH3	MAR02162		r0695
470	3OHAACPDH4	MAR02166		r0693
471	3OHAACPDH5	MAR02170		r0770
472	3OHAACPDH6	MAR02175		r0702
473	3OHAACPDH7	MAR02180		r0697
474	3OHAACPDH8	MAR02325		r1315
475	3OXAACPR1y	MAR02153		r0691
476	3OXAACPR2y	MAR02157		r0761
477	3OXAACPR3y	MAR02161		r0694
478	3OXAACPR4y	MAR02165		r0692
479	3OXAACPR5y	MAR02169		r0769
480	3OXAACPR6y
481	3OXAACPR7y	MAR02179		r0696
482	3OXAACPR8y	MAR02323		r1314
483	BKAACPSYN1	MAR02152		r0678
484	BKAACPSYN2	MAR02156		r0760
485	BKAACPSYN3	MAR02160		r0764
486	BKAACPSYN4	MAR02164		r0766
487	BKAACPSYN5	MAR02168		r0768
488	BKAACPSYN6	MAR02173		r0713
489	BKAACPSYN7	MAR02178		r0772
490	BKAACPSYN8	MAR02322		r1313
491	EACPR1y	MAR02155		r0682
492	EACPR2y	MAR02159		r0763
493	EACPR3y	MAR02163		r0765
494	EACPR4y	MAR02167		r0767
495	EACPR5y	MAR02171		r0712
496	EACPR6y	MAR02176		r0771
497	EACPR7y	MAR02181		r0773
498	EACPR8y	MAR02327		r1316
499	FACOA2ERy_20_2E11Z	MAR02311	RE3229C	RE3229C
500	FACOA2ERy_20_2E13Z	MAR02345	HMR_2345	HMR_2345
501	FACOA2ERy_20_2E8Z11Z	MAR02364	HMR_2364	HMR_2364
502	FACOA2ERy_20_2E9Z	MAR02350	HMR_2350	HMR_2350
503	FACOA2ERy_22_2E11Z	MAR02356	HMR_2356	HMR_2356
504	FACOA2ERy_22_2E13Z	MAR02321	RE3232C	RE3232C
