enzymes	enzyme	complexes	reactions	direction	compartment	complexes_keff	complex_keff	enzyme_keff
enzyme_DOPAPX_L_rev_pc	enzyme_DOPAPX_L_rev	cplx_HOMOTETRAMER_CAT_pc;cplx_HOMODIMER_PRDX6_pc	DOPAPX_L	reverse	pc	cplx_HOMOTETRAMER_CAT_pc(0);cplx_HOMODIMER_PRDX6_pc(0)	0;0	234000.0
enzyme_DPAMPX_L_fwd_pc	enzyme_DPAMPX_L_fwd	cplx_HOMOTETRAMER_CAT_pc;cplx_HOMODIMER_PRDX6_pc	DPAMPX_L	forward	pc	cplx_HOMOTETRAMER_CAT_pc(405911.23035104864);cplx_HOMODIMER_PRDX6_pc(125680.15585547239)	405911.23035104864;125680.15585547239	234000.0
enzyme_DPAMPX_L_rev_pc	enzyme_DPAMPX_L_rev	cplx_HOMOTETRAMER_CAT_pc;cplx_HOMODIMER_PRDX6_pc	DPAMPX_L	reverse	pc	cplx_HOMOTETRAMER_CAT_pc(0);cplx_HOMODIMER_PRDX6_pc(0)	0;0	234000.0
enzyme_LADRNCHRPX_fwd_pc	enzyme_LADRNCHRPX_fwd	cplx_HOMOTETRAMER_CAT_pc;cplx_HOMODIMER_PRDX6_pc	LADRNCHRPX	forward	pc	cplx_HOMOTETRAMER_CAT_pc(405911.23035104864);cplx_HOMODIMER_PRDX6_pc(125680.15585547239)	405911.23035104864;125680.15585547239	234000.0
enzyme_LADRNCHRPX_rev_pc	enzyme_LADRNCHRPX_rev	cplx_HOMOTETRAMER_CAT_pc;cplx_HOMODIMER_PRDX6_pc	LADRNCHRPX	reverse	pc	cplx_HOMOTETRAMER_CAT_pc(0);cplx_HOMODIMER_PRDX6_pc(0)	0;0	234000.0
enzyme_LDPAMCHRPX_fwd_pc	enzyme_LDPAMCHRPX_fwd	cplx_HOMOTETRAMER_CAT_pc;cplx_HOMODIMER_PRDX6_pc	LDPAMCHRPX	forward	pc	cplx_HOMOTETRAMER_CAT_pc(405911.23035104864);cplx_HOMODIMER_PRDX6_pc(125680.15585547239)	405911.23035104864;125680.15585547239	234000.0
enzyme_LDPAMCHRPX_rev_pc	enzyme_LDPAMCHRPX_rev	cplx_HOMOTETRAMER_CAT_pc;cplx_HOMODIMER_PRDX6_pc	LDPAMCHRPX	reverse	pc	cplx_HOMOTETRAMER_CAT_pc(0);cplx_HOMODIMER_PRDX6_pc(0)	0;0	234000.0
enzyme_LDPCHRPX_L_fwd_pc	enzyme_LDPCHRPX_L_fwd	cplx_HOMOTETRAMER_CAT_pc;cplx_HOMODIMER_PRDX6_pc	LDPCHRPX_L	forward	pc	cplx_HOMOTETRAMER_CAT_pc(405911.23035104864);cplx_HOMODIMER_PRDX6_pc(125680.15585547239)	405911.23035104864;125680.15585547239	234000.0
enzyme_LDPCHRPX_L_rev_pc	enzyme_LDPCHRPX_L_rev	cplx_HOMOTETRAMER_CAT_pc;cplx_HOMODIMER_PRDX6_pc	LDPCHRPX_L	reverse	pc	cplx_HOMOTETRAMER_CAT_pc(0);cplx_HOMODIMER_PRDX6_pc(0)	0;0	234000.0
enzyme_LNRPPHRCHRPX_fwd_pc	enzyme_LNRPPHRCHRPX_fwd	cplx_HOMOTETRAMER_CAT_pc;cplx_HOMODIMER_PRDX6_pc	LNRPPHRCHRPX	forward	pc	cplx_HOMOTETRAMER_CAT_pc(405911.23035104864);cplx_HOMODIMER_PRDX6_pc(125680.15585547239)	405911.23035104864;125680.15585547239	234000.0
enzyme_LNRPPHRCHRPX_rev_pc	enzyme_LNRPPHRCHRPX_rev	cplx_HOMOTETRAMER_CAT_pc;cplx_HOMODIMER_PRDX6_pc	LNRPPHRCHRPX	reverse	pc	cplx_HOMOTETRAMER_CAT_pc(0);cplx_HOMODIMER_PRDX6_pc(0)	0;0	234000.0
enzyme_MEOHP_fwd_pc	enzyme_MEOHP_fwd	cplx_HOMOTETRAMER_CAT_pc;cplx_HOMODIMER_PRDX6_pc	MEOHP	forward	pc	cplx_HOMOTETRAMER_CAT_pc(405911.23035104864);cplx_HOMODIMER_PRDX6_pc(125680.15585547239)	405911.23035104864;125680.15585547239	234000.0
enzyme_MEOHP_rev_pc	enzyme_MEOHP_rev	cplx_HOMOTETRAMER_CAT_pc;cplx_HOMODIMER_PRDX6_pc	MEOHP	reverse	pc	cplx_HOMOTETRAMER_CAT_pc(0);cplx_HOMODIMER_PRDX6_pc(0)	0;0	234000.0
enzyme_NRPPHRPX_L_fwd_pc	enzyme_NRPPHRPX_L_fwd	cplx_HOMOTETRAMER_CAT_pc;cplx_HOMODIMER_PRDX6_pc	NRPPHRPX_L	forward	pc	cplx_HOMOTETRAMER_CAT_pc(405911.23035104864);cplx_HOMODIMER_PRDX6_pc(125680.15585547239)	405911.23035104864;125680.15585547239	234000.0
enzyme_NRPPHRPX_L_rev_pc	enzyme_NRPPHRPX_L_rev	cplx_HOMOTETRAMER_CAT_pc;cplx_HOMODIMER_PRDX6_pc	NRPPHRPX_L	reverse	pc	cplx_HOMOTETRAMER_CAT_pc(0);cplx_HOMODIMER_PRDX6_pc(0)	0;0	234000.0
enzyme_CYSTL1_fwd_pc	enzyme_CYSTL1_fwd	cplx_HOMOTETRAMER_CTH_pc	CYSTL1	forward	pc	cplx_HOMOTETRAMER_CTH_pc(325411.107341265)	325411.107341265	234000.0
enzyme_CYSTL1_rev_pc	enzyme_CYSTL1_rev	cplx_HOMOTETRAMER_CTH_pc	CYSTL1	reverse	pc	cplx_HOMOTETRAMER_CTH_pc(0)	0	234000.0
enzyme_CYSL2_fwd_pc	enzyme_CYSL2_fwd	cplx_HOMOTETRAMER_CTH_pc;cplx_HOMODIMER_KYAT1_pc	CYSL2	forward	pc	cplx_HOMOTETRAMER_CTH_pc(325411.107341265);cplx_HOMODIMER_KYAT1_pc(204369.75640870654)	325411.107341265;204369.75640870654	234000.0
enzyme_CYSL2_rev_pc	enzyme_CYSL2_rev	cplx_HOMOTETRAMER_CTH_pc;cplx_HOMODIMER_KYAT1_pc	CYSL2	reverse	pc	cplx_HOMOTETRAMER_CTH_pc(0);cplx_HOMODIMER_KYAT1_pc(0)	0;0	234000.0
enzyme_CYSLNET_fwd_pc	enzyme_CYSLNET_fwd	cplx_HOMOTETRAMER_CTH_pc;cplx_HOMODIMER_KYAT1_pc	CYSLNET	forward	pc	cplx_HOMOTETRAMER_CTH_pc(325411.107341265);cplx_HOMODIMER_KYAT1_pc(204369.75640870654)	325411.107341265;204369.75640870654	234000.0
enzyme_CYSLNET_rev_pc	enzyme_CYSLNET_rev	cplx_HOMOTETRAMER_CTH_pc;cplx_HOMODIMER_KYAT1_pc	CYSLNET	reverse	pc	cplx_HOMOTETRAMER_CTH_pc(0);cplx_HOMODIMER_KYAT1_pc(0)	0;0	234000.0
enzyme_CYSTL2_fwd_pc	enzyme_CYSTL2_fwd	cplx_HOMOTETRAMER_CTH_pc;cplx_HOMODIMER_KYAT1_pc	CYSTL2	forward	pc	cplx_HOMOTETRAMER_CTH_pc(325411.107341265);cplx_HOMODIMER_KYAT1_pc(204369.75640870654)	325411.107341265;204369.75640870654	234000.0
enzyme_CYSTL2_rev_pc	enzyme_CYSTL2_rev	cplx_HOMOTETRAMER_CTH_pc;cplx_HOMODIMER_KYAT1_pc	CYSTL2	reverse	pc	cplx_HOMOTETRAMER_CTH_pc(0);cplx_HOMODIMER_KYAT1_pc(0)	0;0	234000.0
enzyme_CTPS1_fwd_pc	enzyme_CTPS1_fwd	cplx_HOMOTETRAMER_CTPS1_pc;cplx_HOMOTETRAMER_CTPS2_pc	CTPS1	forward	pc	cplx_HOMOTETRAMER_CTPS1_pc(440710.41382782103);cplx_HOMOTETRAMER_CTPS2_pc(435710.5360186372)	440710.41382782103;435710.5360186372	234000.0
