enzyme	enzyme_keff	reactions	direction
enzyme_GLNPROex_fwd	234000.0	GLNPROex	gln__L_c + pro__L_e --> gln__L_e + pro__L_c
enzyme_GLNPROex_rev	234000.0	GLNPROex	gln__L_c + pro__L_e <-- gln__L_e + pro__L_c
enzyme_GLNSERNaEx_fwd	234000.0	GLNSERNaEx	gln__L_e + na1_e + ser__L_c --> gln__L_c + na1_c + ser__L_e
enzyme_GLNSERNaEx_rev	234000.0	GLNSERNaEx	gln__L_e + na1_e + ser__L_c <-- gln__L_c + na1_c + ser__L_e
enzyme_GLNSERex_fwd	234000.0	GLNSERex	gln__L_c + ser__L_e --> gln__L_e + ser__L_c
enzyme_GLNSERex_rev	234000.0	GLNSERex	gln__L_c + ser__L_e <-- gln__L_e + ser__L_c
enzyme_GLNS_fwd	234000.0	GLNS	atp_c + glu__L_c + nh4_c --> adp_c + gln__L_c + h_c + pi_c
enzyme_GLNS_rev	234000.0	GLNS	atp_c + glu__L_c + nh4_c <-- adp_c + gln__L_c + h_c + pi_c
enzyme_GLNTHRNaEx_fwd	234000.0	GLNTHRNaEx	gln__L_e + na1_e + thr__L_c --> gln__L_c + na1_c + thr__L_e
enzyme_GLNTHRNaEx_rev	234000.0	GLNTHRNaEx	gln__L_e + na1_e + thr__L_c <-- gln__L_c + na1_c + thr__L_e
enzyme_GLNTHRex_fwd	234000.0	GLNTHRex	gln__L_c + thr__L_e --> gln__L_e + thr__L_c
enzyme_GLNTHRex_rev	234000.0	GLNTHRex	gln__L_c + thr__L_e <-- gln__L_e + thr__L_c
enzyme_GLNTRPex_fwd	234000.0	GLNTRPex	gln__L_c + trp__L_e --> gln__L_e + trp__L_c
enzyme_GLNTRPex_rev	234000.0	GLNTRPex	gln__L_c + trp__L_e <-- gln__L_e + trp__L_c
enzyme_GLNTYRex_fwd	234000.0	GLNTYRex	gln__L_c + tyr__L_e --> gln__L_e + tyr__L_c
enzyme_GLNTYRex_rev	234000.0	GLNTYRex	gln__L_c + tyr__L_e <-- gln__L_e + tyr__L_c
enzyme_GLNVALex_fwd	234000.0	GLNVALex	gln__L_c + val__L_e --> gln__L_e + val__L_c
enzyme_GLNVALex_rev	234000.0	GLNVALex	gln__L_c + val__L_e <-- gln__L_e + val__L_c
enzyme_GLNtec_fwd	234000.0	GLNtec	gln__L_c --> gln__L_e
enzyme_GLNtec_rev	234000.0	GLNtec	gln__L_c <-- gln__L_e
enzyme_GLOBINRCCL_fwd	234000.0	GLOBINRCCL	2.0 globinr_c --> cclglobin_c
enzyme_GLOBINRCCL_rev	234000.0	GLOBINRCCL	2.0 globinr_c <-- cclglobin_c
enzyme_GLPASE1_fwd	234000.0	GLPASE1	ggnG4G7_c + 3.0 pi_c --> 3.0 g1p_c + ggnG4G4_c
enzyme_GLPASE1_rev	234000.0	GLPASE1	ggnG4G7_c + 3.0 pi_c <-- 3.0 g1p_c + ggnG4G4_c
enzyme_GLPASE2_fwd	234000.0	GLPASE2	ggnG7_c + 7.0 pi_c --> 7.0 g1p_c + ggn8Y_c
enzyme_GLPASE2_rev	234000.0	GLPASE2	ggnG7_c + 7.0 pi_c <-- 7.0 g1p_c + ggn8Y_c
enzyme_GLU2ABUTS_fwd	234000.0	GLU2ABUTS	2abut_c + atp_c + glu__L_c --> adp_c + gglu2abut_c + h_c + pi_c
enzyme_GLU2ABUTS_rev	234000.0	GLU2ABUTS	2abut_c + atp_c + glu__L_c <-- adp_c + gglu2abut_c + h_c + pi_c
enzyme_GLUCYS_fwd	234000.0	GLUCYS	atp_c + cys__L_c + glu__L_c --> adp_c + gglucys__L_c + h_c + pi_c
enzyme_GLUCYS_rev	234000.0	GLUCYS	atp_c + cys__L_c + glu__L_c <-- adp_c + gglucys__L_c + h_c + pi_c
enzyme_GLUN_fwd	234000.0	GLUN	gln__L_c + h2o_c --> glu__L_c + nh4_c
enzyme_GLUN_rev	234000.0	GLUN	gln__L_c + h2o_c <-- glu__L_c + nh4_c
enzyme_GLUNaHKtex_fwd	234000.0	GLUNaHKtex	glu__L_e + h_e + k_c + 3.0 na1_e --> glu__L_c + h_c + k_e + 3.0 na1_c
enzyme_GLUNaHKtex_rev	234000.0	GLUNaHKtex	glu__L_e + h_e + k_c + 3.0 na1_e <-- glu__L_c + h_c + k_e + 3.0 na1_c
enzyme_GLUte_fwd	234000.0	GLUte	glu__L_c --> glu__L_e
enzyme_GLUte_rev	234000.0	GLUte	glu__L_c <-- glu__L_e
enzyme_GLXCLtex_fwd	234000.0	GLXCLtex	cl_e + glx_c --> cl_c + glx_e
enzyme_GLXCLtex_rev	234000.0	GLXCLtex	cl_e + glx_c <-- cl_c + glx_e
enzyme_GLXO1_fwd	234000.0	GLXO1	glx_c + h2o_c + nad_c --> 2.0 h_c + nadh_c + oxa_c
enzyme_GLXO1_rev	234000.0	GLXO1	glx_c + h2o_c + nad_c <-- 2.0 h_c + nadh_c + oxa_c
enzyme_GLYADMARGNaEx_fwd	234000.0	GLYADMARGNaEx	admarg__L_c + gly_e + na1_e --> admarg__L_e + gly_c + na1_c
enzyme_GLYADMARGNaEx_rev	234000.0	GLYADMARGNaEx	admarg__L_c + gly_e + na1_e <-- admarg__L_e + gly_c + na1_c
enzyme_GLYALANaEx_fwd	234000.0	GLYALANaEx	ala__L_c + gly_e + na1_e --> ala__L_e + gly_c + na1_c
enzyme_GLYALANaEx_rev	234000.0	GLYALANaEx	ala__L_c + gly_e + na1_e <-- ala__L_e + gly_c + na1_c
enzyme_GLYALDD_fwd	234000.0	GLYALDD	glyald_c + h2o_c + nad_c --> glyc__R_c + 2.0 h_c + nadh_c
enzyme_GLYALDD_rev	234000.0	GLYALDD	glyald_c + h2o_c + nad_c <-- glyc__R_c + 2.0 h_c + nadh_c
enzyme_GLYARGNaEx_fwd	234000.0	GLYARGNaEx	arg__L_c + gly_e + na1_e --> arg__L_e + gly_c + na1_c
enzyme_GLYARGNaEx_rev	234000.0	GLYARGNaEx	arg__L_c + gly_e + na1_e <-- arg__L_e + gly_c + na1_c
enzyme_GLYBNatex_fwd	234000.0	GLYBNatex	glyb_e + na1_e --> glyb_c + na1_c
enzyme_GLYBNatex_rev	234000.0	GLYBNatex	glyb_e + na1_e <-- glyb_c + na1_c
enzyme_GLYCITRNaEx_fwd	234000.0	GLYCITRNaEx	citr__L_c + gly_e + na1_e --> citr__L_e + gly_c + na1_c
enzyme_GLYCITRNaEx_rev	234000.0	GLYCITRNaEx	citr__L_c + gly_e + na1_e <-- citr__L_e + gly_c + na1_c
enzyme_GLYCLTDx_fwd	234000.0	GLYCLTDx	glx_c + h_c + nadh_c --> glyclt_c + nad_c
enzyme_GLYCLTDx_rev	234000.0	GLYCLTDx	glx_c + h_c + nadh_c <-- glyclt_c + nad_c
enzyme_GLYCLTDy_fwd	234000.0	GLYCLTDy	glx_c + h_c + nadph_c --> glyclt_c + nadp_c
enzyme_GLYCLTDy_rev	234000.0	GLYCLTDy	glx_c + h_c + nadph_c <-- glyclt_c + nadp_c
enzyme_GLYCLTt2_fwd	234000.0	GLYCLTt2	glyclt_c + h_c --> glyclt_e + h_e
enzyme_GLYCLTt2_rev	234000.0	GLYCLTt2	glyclt_c + h_c <-- glyclt_e + h_e
enzyme_GLYCTCLtex_fwd	234000.0	GLYCTCLtex	cl_e + glyclt_c --> cl_c + glyclt_e
enzyme_GLYCTCLtex_rev	234000.0	GLYCTCLtex	cl_e + glyclt_c <-- cl_c + glyclt_e
enzyme_GLYCt_fwd	234000.0	GLYCt	glyc_c --> glyc_e
enzyme_GLYCt_rev	234000.0	GLYCt	glyc_c <-- glyc_e
enzyme_GLYILEex_fwd	234000.0	GLYILEex	gly_c + ile__L_e --> gly_e + ile__L_c
enzyme_GLYILEex_rev	234000.0	GLYILEex	gly_c + ile__L_e <-- gly_e + ile__L_c
enzyme_GLYLEUex_fwd	234000.0	GLYLEUex	gly_c + leu__L_e --> gly_e + leu__L_c
enzyme_GLYLEUex_rev	234000.0	GLYLEUex	gly_c + leu__L_e <-- gly_e + leu__L_c
enzyme_GLYLYSNaEx_fwd	234000.0	GLYLYSNaEx	gly_e + lys__L_c + na1_e --> gly_c + lys__L_e + na1_c
enzyme_GLYLYSNaEx_rev	234000.0	GLYLYSNaEx	gly_e + lys__L_c + na1_e <-- gly_c + lys__L_e + na1_c
enzyme_GLYMETex_fwd	234000.0	GLYMETex	gly_c + met__L_e --> gly_e + met__L_c
enzyme_GLYMETex_rev	234000.0	GLYMETex	gly_c + met__L_e <-- gly_e + met__L_c
enzyme_GLYMMARGNaEx_fwd	234000.0	GLYMMARGNaEx	gly_e + mmarg__L_c + na1_e --> gly_c + mmarg__L_e + na1_c
enzyme_GLYMMARGNaEx_rev	234000.0	GLYMMARGNaEx	gly_e + mmarg__L_c + na1_e <-- gly_c + mmarg__L_e + na1_c
enzyme_GLYORNNaEx_fwd	234000.0	GLYORNNaEx	gly_e + na1_e + orn__L_c --> gly_c + na1_c + orn__L_e
enzyme_GLYORNNaEx_rev	234000.0	GLYORNNaEx	gly_e + na1_e + orn__L_c <-- gly_c + na1_c + orn__L_e
enzyme_GLYOX_fwd	234000.0	GLYOX	h2o_c + slgth__R_c --> gthrd_c + h_c + lac__D_c
enzyme_GLYOX_rev	234000.0	GLYOX	h2o_c + slgth__R_c <-- gthrd_c + h_c + lac__D_c
