enzyme	complex	complex_keff	compartment	reactions	direction
enzyme_NRPPHRCHRGST_rev	cplx_HOMODIMER_GSTT1	136278.8049523991	pc	NRPPHRCHRGST	gthrd_c + nrpphrchrm_c <-- 5sgthleunrpphrchrm_c
enzyme_NRPPHRCHRGST_rev	cplx_HOMOTRIMER_MGST2	127233.0420783922	pc	NRPPHRCHRGST	gthrd_c + nrpphrchrm_c <-- 5sgthleunrpphrchrm_c
enzyme_NRPPHRCHRGST_rev	cplx_MONOMER_LANCL1	118326.83702670697	pc	NRPPHRCHRGST	gthrd_c + nrpphrchrm_c <-- 5sgthleunrpphrchrm_c
enzyme_NRPPHRGTHABCte_fwd	cplx_MONOMER_ABCC1	321351.247289149	pc	NRPPHRGTHABCte	5sgthnrpphr__L_c + atp_c + h2o_c --> 5sgthnrpphr__L_e + adp_c + h_c + pi_c
enzyme_NRPPHRGTHABCte_fwd	cplx_MONOMER_ABCC4	289848.3840025895	pc	NRPPHRGTHABCte	5sgthnrpphr__L_c + atp_c + h2o_c --> 5sgthnrpphr__L_e + adp_c + h_c + pi_c
enzyme_NRPPHRGTHABCte_fwd	cplx_MONOMER_RALBP1	174552.01679499674	pc	NRPPHRGTHABCte	5sgthnrpphr__L_c + atp_c + h2o_c --> 5sgthnrpphr__L_e + adp_c + h_c + pi_c
enzyme_NRPPHRGTHABCte_rev	cplx_MONOMER_ABCC1	0	pc	NRPPHRGTHABCte	5sgthnrpphr__L_c + atp_c + h2o_c <-- 5sgthnrpphr__L_e + adp_c + h_c + pi_c
enzyme_NRPPHRGTHABCte_rev	cplx_MONOMER_ABCC4	0	pc	NRPPHRGTHABCte	5sgthnrpphr__L_c + atp_c + h2o_c <-- 5sgthnrpphr__L_e + adp_c + h_c + pi_c
enzyme_NRPPHRGTHABCte_rev	cplx_MONOMER_RALBP1	0	pc	NRPPHRGTHABCte	5sgthnrpphr__L_c + atp_c + h2o_c <-- 5sgthnrpphr__L_e + adp_c + h_c + pi_c
enzyme_NRPPHRPX_L_fwd	cplx_HOMODIMER_PRDX6	127577.16867092747	pc	NRPPHRPX_L	h2o2_c + 2.0 nrpphr__L_c --> 2.0 h2o_c + 2.0 nrpphrsqn__L_c
enzyme_NRPPHRPX_L_fwd	cplx_HOMOTETRAMER_CAT	412038.0432967501	pc	NRPPHRPX_L	h2o2_c + 2.0 nrpphr__L_c --> 2.0 h2o_c + 2.0 nrpphrsqn__L_c
enzyme_NRPPHRPX_L_rev	cplx_HOMODIMER_PRDX6	0	pc	NRPPHRPX_L	h2o2_c + 2.0 nrpphr__L_c <-- 2.0 h2o_c + 2.0 nrpphrsqn__L_c
enzyme_NRPPHRPX_L_rev	cplx_HOMOTETRAMER_CAT	0	pc	NRPPHRPX_L	h2o2_c + 2.0 nrpphr__L_c <-- 2.0 h2o_c + 2.0 nrpphrsqn__L_c
enzyme_NRPPHRQ1ERx_L_fwd	cplx_COMPLEX_CYB5R3_B5A	140152.13138462845	pc	NRPPHRQ1ERx_L	h_c + nadh_c + 2.0 nrpphrqn__L_c --> nad_c + 2.0 nrpphrsqn__L_c
