	genes	ec-code	uniprot	class	class.description	subclass	subclass.description	subsubclass	subsubclass.description	ec-code.description	alternate	catalytic activity	comments
621	RAC1	3.6.5.2	P63000	3.-.-.-	Hydrolases	3.6.-.-	Acting on acid anhydrides	3.6.5.-	Acting on GTP; involved in cellular and subcellular movement	small monomeric GTPase		GTP + H2O = GDP + H(+) + phosphate	-!- A family of about 50 enzymes with a molecular mass of 21 kDa that are;    distantly related to the alpha-subunit of EC 3.6.1.46;-!- Involved in cell-growth regulation (Ras subfamily), membrane vesicle;    traffic and uncoating (Rab and ARF subfamilies), nuclear protein;    import (Ran subfamily) and organization of the cytoskeleton (Rho and;    Rac subfamilies);-!- Formerly EC 3.6.1.47
622	RALA	3.6.5.2	P11233	3.-.-.-	Hydrolases	3.6.-.-	Acting on acid anhydrides	3.6.5.-	Acting on GTP; involved in cellular and subcellular movement	small monomeric GTPase		GTP + H2O = GDP + H(+) + phosphate	-!- A family of about 50 enzymes with a molecular mass of 21 kDa that are;    distantly related to the alpha-subunit of EC 3.6.1.46;-!- Involved in cell-growth regulation (Ras subfamily), membrane vesicle;    traffic and uncoating (Rab and ARF subfamilies), nuclear protein;    import (Ran subfamily) and organization of the cytoskeleton (Rho and;    Rac subfamilies);-!- Formerly EC 3.6.1.47
623	RALBP1	7.6.2.2	Q15311	7.-.-.-	Translocases	7.6.-.-	Catalysing the translocation of other compounds	7.6.2.-	Linked to the hydrolysis of a nucleoside triphosphate	ABC-type xenobiotic transporter	ATP phosphohydrolase (steroid-exporting);MDR protein;multidrug-resistance protein;PDR protein;P-glycoprotein;pleiotropic-drug-resistance protein;steroid-transporting ATPase;xenobiotic-transporting ATPase	ATP + H2O + xenobioticSide 1 = ADP + phosphate + xenobioticSide 2	-!- An ATP-binding cassette (ABC) type transporter, characterized by the;    presence of two similar ATP-binding domains/proteins and two integral;    membrane domains/proteins;-!- Does not undergo phosphorylation during the transport process;-!- The enzymes from Gram-positive bacteria and eukaryotic cells export a;    number of drugs with unusual specificity, covering various groups of;    unrelated substances while ignoring some that are closely related;    structurally;-!- Several distinct enzymes may be present in a single eukaryotic cell;-!- Many of them also transport glutathione--drug conjugates (see;    EC 7.6.2.3) while others also show some 'flippase' activity (cf;    EC 7.6.2.1);-!- Formerly EC 3.6.3.44
624	RALBP1	7.6.2.3	Q15311	7.-.-.-	Translocases	7.6.-.-	Catalysing the translocation of other compounds	7.6.2.-	Linked to the hydrolysis of a nucleoside triphosphate	ABC-type glutathione-S-conjugate transporter	glutathione-S-conjugate-translocating ATPase;multidrug resistance-associated protein 1;YBT1 (gene name);YCF1 (gene name)	an S-substituted glutathione(in) + ATP + H2O = ADP + an S-substituted;glutathione(out) + H(+) + phosphate	-!- A eukaryotic ATP-binding cassette (ABC) type transporter that;    mediates the transport of glutathione-S-conjugates;-!- The mammalian enzyme, which also transports some glucuronides,;    exports the substrates out of the cell, while plant and fungal;    transporters export them into the vacuole;-!- Over-expression confers resistance to anticancer drugs by their;    efficient exportation in glutathione-S-conjugate form
625	RAP1A	3.6.5.2	P62834	3.-.-.-	Hydrolases	3.6.-.-	Acting on acid anhydrides	3.6.5.-	Acting on GTP; involved in cellular and subcellular movement	small monomeric GTPase		GTP + H2O = GDP + H(+) + phosphate	-!- A family of about 50 enzymes with a molecular mass of 21 kDa that are;    distantly related to the alpha-subunit of EC 3.6.1.46;-!- Involved in cell-growth regulation (Ras subfamily), membrane vesicle;    traffic and uncoating (Rab and ARF subfamilies), nuclear protein;    import (Ran subfamily) and organization of the cytoskeleton (Rho and;    Rac subfamilies);-!- Formerly EC 3.6.1.47
626	RAP2B	3.6.5.2	P61225	3.-.-.-	Hydrolases	3.6.-.-	Acting on acid anhydrides	3.6.5.-	Acting on GTP; involved in cellular and subcellular movement	small monomeric GTPase		GTP + H2O = GDP + H(+) + phosphate	-!- A family of about 50 enzymes with a molecular mass of 21 kDa that are;    distantly related to the alpha-subunit of EC 3.6.1.46;-!- Involved in cell-growth regulation (Ras subfamily), membrane vesicle;    traffic and uncoating (Rab and ARF subfamilies), nuclear protein;    import (Ran subfamily) and organization of the cytoskeleton (Rho and;    Rac subfamilies);-!- Formerly EC 3.6.1.47
627	RARS1	6.1.1.19	P54136	6.-.-.-	Ligases	6.1.-.-	Forming carbon-oxygen bonds	6.1.1.-	Ligases forming aminoacyl-tRNA and related compounds	arginine--tRNA ligase	arginine translase;arginyl-tRNA synthetase	ATP + L-arginine + tRNA(Arg) = AMP + diphosphate + L-arginyl-tRNA(Arg)	
628	RBKS	2.7.1.15	Q9H477	2.-.-.-	Transferases	2.7.-.-	Transferring phosphorus-containing groups	2.7.1.-	Phosphotransferases with an alcohol group as acceptor	ribokinase		ATP + D-ribose = ADP + D-ribose 5-phosphate + H(+)	-!- 2-Deoxy-D-ribose can also act as acceptor
629	RBX1	2.3.2.27	P62877	2.-.-.-	Transferases	2.3.-.-	Acyltransferases	2.3.2.-	Aminoacyltransferases	RING-type E3 ubiquitin transferase	RING E3 ligase;ubiquitin transferase RING E3	S-ubiquitinyl-[E2 ubiquitin-conjugating enzyme]-L-cysteine + [acceptor;protein]-L-lysine = [E2 ubiquitin-conjugating enzyme]-L-cysteine + N(6)-;ubiquitinyl-[acceptor protein]-L-lysine	-!- RING E3 ubiquitin transferases serve as mediators bringing the;    ubiquitin-charged E2 ubiquitin-conjugating enzyme (EC 2.3.2.23) and;    an acceptor protein together to enable the direct transfer of;    ubiquitin through the formation of an isopeptide bond between the;    C-terminal glycine residue of ubiquitin and the epsilon-amino group;    of an L-lysine residue of the acceptor protein;-!- Unlike EC 2.3.2.26 the RING-E3 domain does not form a catalytic;    thioester intermediate with ubiquitin;-!- Many members of the RING-type E3 ubiquitin transferase family are not;    able to bind a substrate directly, and form a complex with a cullin;    scaffold protein and a substrate recognition module (the complexes;    are named CRL for Cullin-RING-Ligase);-!- In these complexes, the RING-type E3 ubiquitin transferase provides;    an additional function, mediating the transfer of a NEDD8 protein;    from a dedicated E2 carrier to the cullin protein (see EC 2.3.2.32);    cf. EC 2.3.2.31;-!- Formerly EC 6.3.2.19 and EC 6.3.2.21
630	RBX1	2.3.2.32	P62877	2.-.-.-	Transferases	2.3.-.-	Acyltransferases	2.3.2.-	Aminoacyltransferases	cullin-RING-type E3 NEDD8 transferase		S-[NEDD8-protein]-yl-[E2 NEDD8-conjugating enzyme]-L-cysteine + [cullin]-;L-lysine = [E2 NEDD8-conjugating enzyme]-L-cysteine + N(6)-[NEDD8-;protein]-yl-[cullin]-L-lysine	-!- Some RING-type E3 ubiquitin transferase (EC 2.3.2.27) are not able to;    bind a substrate protein directly;-!- Instead, they form a complex with a cullin scaffold protein and a;    substrate recognition module, which is named CRL for Cullin-RING-;    Ligase;-!- The cullin protein needs to be activated by the ubiquitin-like;    protein NEDD8 in a process known as neddylation;-!- The transfer of NEDD8 from a NEDD8-specific E2 enzyme onto the cullin;    protein is a secondary function of the RING-type E3 ubiquitin;    transferase in the CRL complex;-!- The process requires auxiliary factors that belong to the DCN1;    (defective in cullin neddylation 1) family
631	RDH11	1.1.1.300	Q8TC12	1.-.-.-	Oxidoreductases	1.1.-.-	Acting on the CH-OH group of donors	1.1.1.-	With NAD(+) or NADP(+) as acceptor	NADP-retinol dehydrogenase	all-trans retinal reductase;all-trans-retinol dehydrogenase;NADP(H)-dependent retinol dehydrogenase/reductase;retinol dehydrogenase [NADP(+)]	all-trans-retinol + NADP(+) = all-trans-retinal + H(+) + NADPH	-!- Greater catalytic efficiency in the reductive direction;-!- This observation, and the enzyme's localization at the entrance to;    the mitochondrial matrix, suggest that it may function to protect;    mitochondria against oxidative stress associated with the highly;    reactive retinal produced from dietary beta-carotene by;    EC 1.13.11.63;-!- Km-values for NADP(+) and NADPH are at least 800-fold lower than;    those for NAD(+) and NADH;-!- This enzyme differs from EC 1.1.1.105 which prefers NAD(+) and NADH;-!- Formerly EC 1.1.1.n2
632	RDH14	1.1.1.300	Q9HBH5	1.-.-.-	Oxidoreductases	1.1.-.-	Acting on the CH-OH group of donors	1.1.1.-	With NAD(+) or NADP(+) as acceptor	NADP-retinol dehydrogenase	all-trans retinal reductase;all-trans-retinol dehydrogenase;NADP(H)-dependent retinol dehydrogenase/reductase;retinol dehydrogenase [NADP(+)]	all-trans-retinol + NADP(+) = all-trans-retinal + H(+) + NADPH	-!- Greater catalytic efficiency in the reductive direction;-!- This observation, and the enzyme's localization at the entrance to;    the mitochondrial matrix, suggest that it may function to protect;    mitochondria against oxidative stress associated with the highly;    reactive retinal produced from dietary beta-carotene by;    EC 1.13.11.63;-!- Km-values for NADP(+) and NADPH are at least 800-fold lower than;    those for NAD(+) and NADH;-!- This enzyme differs from EC 1.1.1.105 which prefers NAD(+) and NADH;-!- Formerly EC 1.1.1.n2
633	RFK	2.7.1.26	Q969G6	2.-.-.-	Transferases	2.7.-.-	Transferring phosphorus-containing groups	2.7.1.-	Phosphotransferases with an alcohol group as acceptor	riboflavin kinase	flavokinase;RFK	ATP + riboflavin = ADP + FMN + H(+)	-!- The cofactors FMN and FAD participate in numerous processes in all;    organisms, including mitochondrial electron transport,;    photosynthesis, fatty-acid oxidation, and metabolism of vitamin B6,;    vitamin B12 and folates;-!- While monofunctional riboflavin kinase is found in eukaryotes, some;    bacteria have a bifunctional enzyme that exhibits both this activity;    and that of EC 2.7.7.2;-!- In Bacillus subtilis, ATP can be replaced by other phosphate donors;    but with decreasing enzyme activity in the order ATP > dATP > CTP >;    UTP
634	RHOA	3.6.5.2	P61586	3.-.-.-	Hydrolases	3.6.-.-	Acting on acid anhydrides	3.6.5.-	Acting on GTP; involved in cellular and subcellular movement	small monomeric GTPase		GTP + H2O = GDP + H(+) + phosphate	-!- A family of about 50 enzymes with a molecular mass of 21 kDa that are;    distantly related to the alpha-subunit of EC 3.6.1.46;-!- Involved in cell-growth regulation (Ras subfamily), membrane vesicle;    traffic and uncoating (Rab and ARF subfamilies), nuclear protein;    import (Ran subfamily) and organization of the cytoskeleton (Rho and;    Rac subfamilies);-!- Formerly EC 3.6.1.47
635	RIDA	3.5.99.10	P52758	3.-.-.-	Hydrolases	3.5.-.-	Acting on carbon-nitrogen bonds, other than peptide bonds	3.5.99.-	In other compounds	2-iminobutanoate/2-iminopropanoate deaminase	enamine/imine deaminase	(1) 2-iminobutanoate + H2O = 2-oxobutanoate + NH4(+);(2) 2-iminopropanoate + H2O = NH4(+) + pyruvate	-!- This enzyme, which has been found in all species and tissues;    examined, catalyzes the hydrolytic deamination of imine intermediates;    formed by several types of pyridoxal-5'-phosphate-dependent;    dehydratases, such as EC 4.3.1.19 and EC 4.3.1.17;-!- The reactions, which can occur spontaneously, are accelerated to;    minimize the cellular damage that could be caused by these reactive;    intermediates
636	RNF123	2.3.2.27	Q5XPI4	2.-.-.-	Transferases	2.3.-.-	Acyltransferases	2.3.2.-	Aminoacyltransferases	RING-type E3 ubiquitin transferase	RING E3 ligase;ubiquitin transferase RING E3	S-ubiquitinyl-[E2 ubiquitin-conjugating enzyme]-L-cysteine + [acceptor;protein]-L-lysine = [E2 ubiquitin-conjugating enzyme]-L-cysteine + N(6)-;ubiquitinyl-[acceptor protein]-L-lysine	-!- RING E3 ubiquitin transferases serve as mediators bringing the;    ubiquitin-charged E2 ubiquitin-conjugating enzyme (EC 2.3.2.23) and;    an acceptor protein together to enable the direct transfer of;    ubiquitin through the formation of an isopeptide bond between the;    C-terminal glycine residue of ubiquitin and the epsilon-amino group;    of an L-lysine residue of the acceptor protein;-!- Unlike EC 2.3.2.26 the RING-E3 domain does not form a catalytic;    thioester intermediate with ubiquitin;-!- Many members of the RING-type E3 ubiquitin transferase family are not;    able to bind a substrate directly, and form a complex with a cullin;    scaffold protein and a substrate recognition module (the complexes;    are named CRL for Cullin-RING-Ligase);-!- In these complexes, the RING-type E3 ubiquitin transferase provides;    an additional function, mediating the transfer of a NEDD8 protein;    from a dedicated E2 carrier to the cullin protein (see EC 2.3.2.32);    cf. EC 2.3.2.31;-!- Formerly EC 6.3.2.19 and EC 6.3.2.21
637	ROCK2	2.7.11.1	O75116	2.-.-.-	Transferases	2.7.-.-	Transferring phosphorus-containing groups	2.7.11.-	Protein-serine/threonine kinases	non-specific serine/threonine protein kinase	protein phosphokinase;protein serine kinase;protein-serine kinase;protein serine-threonine kinase;serine/threonine protein kinase;serine(threonine) protein kinase;serine kinase;serine protein kinase;serine-specific protein kinase;threonine-specific protein kinase	(1) ATP + L-seryl-[protein] = ADP + H(+) + O-phospho-L-seryl-[protein];(2) ATP + L-threonyl-[protein] = ADP + H(+) + O-phospho-L-threonyl-;[protein]	-!- This is a heterogeneous group of serine/threonine protein kinases;    that do not have an activating compound and are either non-specific;    or their specificity has not been analyzed to date;-!- Formerly EC 2.7.1.37 and EC 2.7.1.70
638	RPE	5.1.3.1	Q96AT9	5.-.-.-	Isomerases	5.1.-.-	Racemases and epimerases	5.1.3.-	Acting on carbohydrates and derivatives	ribulose-phosphate 3-epimerase	D-ribulose-5-phosphate epimerase;D-ribulose phosphate-3-epimerase;D-xylulose-5-phosphate 3-epimerase;erythrose-4-phosphate epimerase;pentose-5-phosphate 3-epimerase;phosphoribulose epimerase;xylulose phosphate 3-epimerase	D-ribulose 5-phosphate = D-xylulose 5-phosphate	-!- Also converts D-erythrose 4-phosphate into D-erythrulose 4-phosphate;    and D-threose 4-phosphate
639	RPIA	5.3.1.6	P49247	5.-.-.-	Isomerases	5.3.-.-	Intramolecular oxidoreductases	5.3.1.-	Interconverting aldoses and ketoses	ribose-5-phosphate isomerase	5-phosphoribose isomerase;D-ribose-5-phosphate ketol-isomerase;phosphopentoseisomerase;phosphopentosisomerase;phosphoriboisomerase;ribose 5-phosphate epimerase;ribose phosphate isomerase	aldehydo-D-ribose 5-phosphate = D-ribulose 5-phosphate	-!- Also acts on D-ribose 5-diphosphate and D-ribose 5-triphosphate
640	RPS6KA3	2.7.11.1	P51812	2.-.-.-	Transferases	2.7.-.-	Transferring phosphorus-containing groups	2.7.11.-	Protein-serine/threonine kinases	non-specific serine/threonine protein kinase	protein phosphokinase;protein serine kinase;protein-serine kinase;protein serine-threonine kinase;serine/threonine protein kinase;serine(threonine) protein kinase;serine kinase;serine protein kinase;serine-specific protein kinase;threonine-specific protein kinase	(1) ATP + L-seryl-[protein] = ADP + H(+) + O-phospho-L-seryl-[protein];(2) ATP + L-threonyl-[protein] = ADP + H(+) + O-phospho-L-threonyl-;[protein]	-!- This is a heterogeneous group of serine/threonine protein kinases;    that do not have an activating compound and are either non-specific;    or their specificity has not been analyzed to date;-!- Formerly EC 2.7.1.37 and EC 2.7.1.70
641	RPS6KA4	2.7.11.1	O75676	2.-.-.-	Transferases	2.7.-.-	Transferring phosphorus-containing groups	2.7.11.-	Protein-serine/threonine kinases	non-specific serine/threonine protein kinase	protein phosphokinase;protein serine kinase;protein-serine kinase;protein serine-threonine kinase;serine/threonine protein kinase;serine(threonine) protein kinase;serine kinase;serine protein kinase;serine-specific protein kinase;threonine-specific protein kinase	(1) ATP + L-seryl-[protein] = ADP + H(+) + O-phospho-L-seryl-[protein];(2) ATP + L-threonyl-[protein] = ADP + H(+) + O-phospho-L-threonyl-;[protein]	-!- This is a heterogeneous group of serine/threonine protein kinases;    that do not have an activating compound and are either non-specific;    or their specificity has not been analyzed to date;-!- Formerly EC 2.7.1.37 and EC 2.7.1.70
642	RPS6KA5	2.7.11.1	O75582	2.-.-.-	Transferases	2.7.-.-	Transferring phosphorus-containing groups	2.7.11.-	Protein-serine/threonine kinases	non-specific serine/threonine protein kinase	protein phosphokinase;protein serine kinase;protein-serine kinase;protein serine-threonine kinase;serine/threonine protein kinase;serine(threonine) protein kinase;serine kinase;serine protein kinase;serine-specific protein kinase;threonine-specific protein kinase	(1) ATP + L-seryl-[protein] = ADP + H(+) + O-phospho-L-seryl-[protein];(2) ATP + L-threonyl-[protein] = ADP + H(+) + O-phospho-L-threonyl-;[protein]	-!- This is a heterogeneous group of serine/threonine protein kinases;    that do not have an activating compound and are either non-specific;    or their specificity has not been analyzed to date;-!- Formerly EC 2.7.1.37 and EC 2.7.1.70
643	RUVBL1	3.6.4.12	Q9Y265	3.-.-.-	Hydrolases	3.6.-.-	Acting on acid anhydrides	3.6.4.-	Acting on ATP; involved in cellular and subcellular movement	DNA helicase		ATP + H2O = ADP + H(+) + phosphate	-!- DNA helicases utilize the energy from ATP hydrolysis to unwind;    double-stranded DNA;-!- Some of them unwind duplex DNA with a 3' to 5' polarity, other show;    5' to 3' polarity or unwind DNA in both directions;-!- Some helicases unwind DNA as well as RNA;-!- May be identical with EC 3.6.4.13
644	RUVBL2	3.6.4.12	Q9Y230	3.-.-.-	Hydrolases	3.6.-.-	Acting on acid anhydrides	3.6.4.-	Acting on ATP; involved in cellular and subcellular movement	DNA helicase		ATP + H2O = ADP + H(+) + phosphate	-!- DNA helicases utilize the energy from ATP hydrolysis to unwind;    double-stranded DNA;-!- Some of them unwind duplex DNA with a 3' to 5' polarity, other show;    5' to 3' polarity or unwind DNA in both directions;-!- Some helicases unwind DNA as well as RNA;-!- May be identical with EC 3.6.4.13
645	SACM1L	3.1.3.64	Q9NTJ5	3.-.-.-	Hydrolases	3.1.-.-	Acting on ester bonds	3.1.3.-	Phosphoric monoester hydrolases	phosphatidylinositol-3-phosphatase	D-myo-inositol-1,3-bisphosphate 3-phosphohydrolase;inositol-1,3-bisphosphate 3-phosphatase;inositol 1,3-bisphosphate phosphatase;inositol-polyphosphate 3-phosphatase;phosphatidyl-3-phosphate 3-phosphohydrolase	a 1,2-diacyl-sn-glycero-3-phospho-(1D-myo-inositol-3-phosphate) + H2O =;a 1,2-diacyl-sn-glycero-3-phospho-(1D-myo-inositol) + phosphate	-!- This enzyme still works when the 2,3-bis(acyloxy)propyl group is;    removed, i.e., it hydrolyzes Ins(1,3)P2 to Ins-1-P;-!- Formerly EC 3.1.3.65
646	SARS1	6.1.1.11	P49591	6.-.-.-	Ligases	6.1.-.-	Forming carbon-oxygen bonds	6.1.1.-	Ligases forming aminoacyl-tRNA and related compounds	serine--tRNA ligase	serine translase;SerRS;seryl-transfer ribonucleate synthetase;seryl-transfer ribonucleic acid synthetase;seryl-transfer RNA synthetase;seryl-tRNA synthetase	(1) ATP + L-serine + tRNA(Ser) = AMP + diphosphate + H(+) + L-seryl-;tRNA(Ser);(2) ATP + L-serine + tRNA(Sec) = AMP + diphosphate + H(+) + L-seryl-;tRNA(Sec)	-!- This enzyme also recognizes tRNA(Sec), the special tRNA for;    selenocysteine, and catalyzes the formation of L-seryl-tRNA(Sec),;    the substrate for EC 2.9.1.1
647	SCD	1.14.19.1	O00767	1.-.-.-	Oxidoreductases	1.14.-.-	Acting on paired donors, with incorporation or reduction of molecular oxygen. The oxygen incorporated need not be derived from O2	1.14.19.-	With oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water	stearoyl-CoA 9-desaturase	acyl-CoA desaturase;Delta(9)-desaturase;fatty acid desaturase;stearoyl-CoA desaturase	2 Fe(II)-[cytochrome b5] + 2 H(+) + O2 + octadecanoyl-CoA = (9Z)-;octadecenoyl-CoA + 2 Fe(III)-[cytochrome b5] + 2 H2O	-!- The liver enzyme is an enzyme system involving cytochrome b5 and;    EC 1.6.2.2;-!- The ferricytochrome b5 produced is reduced by NADH and EC 1.6.2.2;-!- Formerly EC 1.14.99.5
648	SELENBP1	1.8.3.4	Q13228	1.-.-.-	Oxidoreductases	1.8.-.-	Acting on a sulfur group of donors	1.8.3.-	With oxygen as acceptor	methanethiol oxidase	methylmercaptan oxidase	H2O + methanethiol + O2 = formaldehyde + H(+) + H2O2 + hydrogen sulfide	
649	SHMT1	2.1.2.1	P34896	2.-.-.-	Transferases	2.1.-.-	Transferring one-carbon groups	2.1.2.-	Hydroxymethyl-, formyl- and related transferases	glycine hydroxymethyltransferase	serine aldolase;serine hydroxymethylase;serine hydroxymethyltransferase;threonine aldolase	(6R)-5,10-methylene-5,6,7,8-tetrahydrofolate + glycine + H2O = (6S)-;5,6,7,8-tetrahydrofolate + L-serine	-!- Also catalyzes the reaction of glycine with acetaldehyde to form;    L-threonine, and with 4-trimethylammoniobutanal to form 3-hydroxy-;    N(6),N(6),N(6)-trimethyl-L-lysine
650	SHPK	2.7.1.14	Q9UHJ6	2.-.-.-	Transferases	2.7.-.-	Transferring phosphorus-containing groups	2.7.1.-	Phosphotransferases with an alcohol group as acceptor	sedoheptulokinase	heptulokinase	ATP + sedoheptulose = ADP + D-sedoheptulose 7-phosphate + H(+)	
651	SIRT2	2.3.1.286	Q8IXJ6	2.-.-.-	Transferases	2.3.-.-	Acyltransferases	2.3.1.-	Transferring groups other than amino-acyl groups	protein acetyllysine N-acetyltransferase	NAD(+)-dependent protein deacetylase;protein lysine deacetylase	H2O + N(6)-acetyl-L-lysyl-[protein] + NAD(+) = 2''-O-acetyl-ADP-D-ribose;+ L-lysyl-[protein] + nicotinamide	-!- The enzyme, found in all domains of life, is involved in gene;    regulation by deacetylating proteins;-!- Some of the 2''-O-acetyl-ADP-D-ribose converts non-enzymically to;    3''-O-acetyl-ADP-D-ribose
652	SLC27A2	6.2.1.15	O14975	6.-.-.-	Ligases	6.2.-.-	Forming carbon-sulfur bonds	6.2.1.-	Acid--thiol ligases	arachidonate--CoA ligase	arachidonoyl-CoA synthetase	(5Z,8Z,11Z,14Z)-eicosatetraenoate + ATP + CoA = (5Z,8Z,11Z,14Z)-;eicosatetraenoyl-CoA + AMP + diphosphate	-!- 8,11,14-icosatrienoate, but not the other long-chain fatty acids,;    can act in place of arachidonate;-!- Not identical with EC 6.2.1.3
653	SLC27A2	6.2.1.24	O14975	6.-.-.-	Ligases	6.2.-.-	Forming carbon-sulfur bonds	6.2.1.-	Acid--thiol ligases	phytanate--CoA ligase		3,7,11,15-tetramethylhexadecanoate + ATP + CoA = AMP + diphosphate +;phytanoyl-CoA	-!- Not identical with EC 6.2.1.20
654	SLC27A2	6.2.1.3	O14975	6.-.-.-	Ligases	6.2.-.-	Forming carbon-sulfur bonds	6.2.1.-	Acid--thiol ligases	long-chain-fatty-acid--CoA ligase	acyl-activating enzyme;acyl-CoA synthetase;fatty acid thiokinase (long chain);lignoceroyl-CoA synthase	a long-chain fatty acid + ATP + CoA = a long-chain fatty acyl-CoA + AMP +;diphosphate	-!- Acts on a wide range of long-chain saturated and unsaturated fatty;    acids, but the enzymes from different tissues show some variation in;    specificity;-!- The liver enzyme acts on acids from C6 to C20; that from brain shows;    high activity up to C24
655	SLC27A2	6.2.1.7	O14975	6.-.-.-	Ligases	6.2.-.-	Forming carbon-sulfur bonds	6.2.1.-	Acid--thiol ligases	cholate--CoA ligase	3alpha,7alpha,12alpha-trihydroxy-5beta-cholestanate:CoA ligase (AMP-;forming);3alpha,7alpha,12alpha-trihydroxy-5beta-cholestanate--CoA ligase;3alpha,7alpha,12alpha-trihydroxy-5beta-cholestanoate-CoA ligase;3alpha,7alpha,12alpha-trihydroxy-5beta-cholestanoate-CoA synthetase;3alpha,7alpha,12alpha-trihydroxy-5beta-cholestanoyl coenzyme A;synthetase;BAL;bile acid CoA ligase;bile acid coenzyme A ligase;cholate thiokinase;cholic acid:CoA ligase;cholic thiokinase;choloyl-CoA synthetase;choloyl coenzyme A synthetase;cholyl-CoA synthetase;THCA-CoA ligase;trihydroxycoprostanoyl-CoA synthetase	(1) ATP + cholate + CoA = AMP + choloyl-CoA + diphosphate;(2) (25R)-3alpha,7alpha,12alpha-trihydroxy-5beta-cholestan-26-oate +;ATP + CoA = (25R)-3alpha,7alpha,12alpha-trihydroxy-5beta-cholestan-26-;oyl-CoA + AMP + diphosphate	-!- This membrane-bound enzyme catalyzes the first step in the;    conjugation of bile acids with amino acids, converting bile acids;    into their acyl-CoA thioesters;-!- The second step involves EC 2.3.1.65 and converts the acyl-CoA;    thioester into the corresponding N-acyl amidate by conjugation with;    glycine or taurine;-!- Chenodeoxycholate, deoxycholate, lithocholate and;    trihydroxycoprostanoate can also act as substrates;-!- Formerly EC 6.2.1.29
656	SLC27A4	6.2.1.15	Q6P1M0	6.-.-.-	Ligases	6.2.-.-	Forming carbon-sulfur bonds	6.2.1.-	Acid--thiol ligases	arachidonate--CoA ligase	arachidonoyl-CoA synthetase	(5Z,8Z,11Z,14Z)-eicosatetraenoate + ATP + CoA = (5Z,8Z,11Z,14Z)-;eicosatetraenoyl-CoA + AMP + diphosphate	-!- 8,11,14-icosatrienoate, but not the other long-chain fatty acids,;    can act in place of arachidonate;-!- Not identical with EC 6.2.1.3
657	SLC27A4	6.2.1.3	Q6P1M0	6.-.-.-	Ligases	6.2.-.-	Forming carbon-sulfur bonds	6.2.1.-	Acid--thiol ligases	long-chain-fatty-acid--CoA ligase	acyl-activating enzyme;acyl-CoA synthetase;fatty acid thiokinase (long chain);lignoceroyl-CoA synthase	a long-chain fatty acid + ATP + CoA = a long-chain fatty acyl-CoA + AMP +;diphosphate	-!- Acts on a wide range of long-chain saturated and unsaturated fatty;    acids, but the enzymes from different tissues show some variation in;    specificity;-!- The liver enzyme acts on acids from C6 to C20; that from brain shows;    high activity up to C24
658	SMOX	1.5.3.16	Q9NWM0	1.-.-.-	Oxidoreductases	1.5.-.-	Acting on the CH-NH group of donors	1.5.3.-	With oxygen as acceptor	spermine oxidase	SMO	H2O + O2 + spermine = 3-aminopropanal + H2O2 + spermidine	-!- The enzyme from Arabidopsis thaliana (AtPAO1) oxidizes norspermine to;    norspermidine with high efficiency;-!- The mammalian enzyme, encoded by the SMOX gene, is a cytosolic enzyme;    that catalyzes the oxidation of spermine at the exo (three-carbon);    side of the tertiary amine;-!- No activity with spermidine;-!- Weak activity with N(1)-acetylspermine;-!- Differs in specificity from EC 1.5.3.13, EC 1.5.3.14, EC 1.5.3.15 and;    EC 1.5.3.17;-!- Formerly EC 1.5.3.11, EC 1.5.3.n1, EC 1.5.3.n2, EC 1.5.3.n3 and;    EC 1.5.3.n5
659	SMPD1	3.1.4.12	P17405	3.-.-.-	Hydrolases	3.1.-.-	Acting on ester bonds	3.1.4.-	Phosphoric diester hydrolases	sphingomyelin phosphodiesterase	acid sphingomyelinase;neutral sphingomyelinase	a sphingomyelin + H2O = an N-acylsphing-4-enine + H(+) + phosphocholine	-!- Has very little activity on phosphatidylcholine
660	SMPD1	3.1.4.3	P17405	3.-.-.-	Hydrolases	3.1.-.-	Acting on ester bonds	3.1.4.-	Phosphoric diester hydrolases	phospholipase C	Clostridium oedematiens beta- and gamma-toxins;Clostridium welchii alpha-toxin;lecithinase C;lipophosphodiesterase I	a 1,2-diacyl-sn-glycero-3-phosphocholine + H2O = a 1,2-diacyl-sn-glycerol;+ H(+) + phosphocholine	-!- The bacterial enzyme also acts on sphingomyelin and;    phosphatidylinositol;-!- The enzyme from seminal plasma does not act on phosphatidylinositol
661	SMPD3	3.1.4.12	Q9NY59	3.-.-.-	Hydrolases	3.1.-.-	Acting on ester bonds	3.1.4.-	Phosphoric diester hydrolases	sphingomyelin phosphodiesterase	acid sphingomyelinase;neutral sphingomyelinase	a sphingomyelin + H2O = an N-acylsphing-4-enine + H(+) + phosphocholine	-!- Has very little activity on phosphatidylcholine
662	SMS	2.5.1.22	P52788	2.-.-.-	Transferases	2.5.-.-	Transferring alkyl or aryl groups, other than methyl groups	2.5.1.-	Transferring alkyl or aryl groups, other than methyl groups	spermine synthase	spermidine aminopropyltransferase	S-adenosyl 3-(methylsulfanyl)propylamine + spermidine = H(+) + S-methyl-;5'-thioadenosine + spermine	-!- The enzyme from mammalia is highly specific for spermidine,;    cf. EC 2.5.1.16 and EC 2.5.1.23
