enzyme	complex	complex_keff	compartment	reactions	direction
enzyme_PCFLOPt_rev	cplx_MONOMER_Abcb1a	0	pc	PCFLOPt	atp_c + h2o_c + pc_hs_c <-- adp_c + h_c + pc_hs_e + pi_c
enzyme_PCFLOPt_rev	cplx_MONOMER_Abcb1b	0	pc	PCFLOPt	atp_c + h2o_c + pc_hs_c <-- adp_c + h_c + pc_hs_e + pi_c
enzyme_PCFLOPt_rev	cplx_MONOMER_Abcb4	0	pc	PCFLOPt	atp_c + h2o_c + pc_hs_c <-- adp_c + h_c + pc_hs_e + pi_c
enzyme_PCOPLA2_fwd	cplx_HOMODIMER_Prdx6	125990.37218784784	pc	PCOPLA2	h2o_c + pco_hs_c --> FA_hs_c + h_c + lpco_hs_c
enzyme_PCOPLA2_fwd	cplx_MONOMER_Abhd16a	150596.85587009758	pc	PCOPLA2	h2o_c + pco_hs_c --> FA_hs_c + h_c + lpco_hs_c
enzyme_PCOPLA2_fwd	cplx_MONOMER_Pla2g4a	188655.56565882146	pc	PCOPLA2	h2o_c + pco_hs_c --> FA_hs_c + h_c + lpco_hs_c
enzyme_PCOPLA2_fwd	cplx_MONOMER_Pla2g4b	194001.46789843554	pc	PCOPLA2	h2o_c + pco_hs_c --> FA_hs_c + h_c + lpco_hs_c
enzyme_PCOPLA2_rev	cplx_HOMODIMER_Prdx6	0	pc	PCOPLA2	h2o_c + pco_hs_c <-- FA_hs_c + h_c + lpco_hs_c
enzyme_PCOPLA2_rev	cplx_MONOMER_Abhd16a	0	pc	PCOPLA2	h2o_c + pco_hs_c <-- FA_hs_c + h_c + lpco_hs_c
enzyme_PCOPLA2_rev	cplx_MONOMER_Pla2g4a	0	pc	PCOPLA2	h2o_c + pco_hs_c <-- FA_hs_c + h_c + lpco_hs_c
enzyme_PCOPLA2_rev	cplx_MONOMER_Pla2g4b	0	pc	PCOPLA2	h2o_c + pco_hs_c <-- FA_hs_c + h_c + lpco_hs_c
enzyme_PCPLA2_fwd	cplx_HOMODIMER_Prdx6	125990.37218784784	pc	PCPLA2	h2o_c + pc_hs_c --> FA_hs_c + h_c + lpc_hs_c
enzyme_PCPLA2_fwd	cplx_MONOMER_Abhd16a	150596.85587009758	pc	PCPLA2	h2o_c + pc_hs_c --> FA_hs_c + h_c + lpc_hs_c
enzyme_PCPLA2_fwd	cplx_MONOMER_Pla2g4a	188655.56565882146	pc	PCPLA2	h2o_c + pc_hs_c --> FA_hs_c + h_c + lpc_hs_c
enzyme_PCPLA2_fwd	cplx_MONOMER_Pla2g4b	194001.46789843554	pc	PCPLA2	h2o_c + pc_hs_c --> FA_hs_c + h_c + lpc_hs_c
enzyme_PCPLA2_rev	cplx_HOMODIMER_Prdx6	0	pc	PCPLA2	h2o_c + pc_hs_c <-- FA_hs_c + h_c + lpc_hs_c
enzyme_PCPLA2_rev	cplx_MONOMER_Abhd16a	0	pc	PCPLA2	h2o_c + pc_hs_c <-- FA_hs_c + h_c + lpc_hs_c
enzyme_PCPLA2_rev	cplx_MONOMER_Pla2g4a	0	pc	PCPLA2	h2o_c + pc_hs_c <-- FA_hs_c + h_c + lpc_hs_c
enzyme_PCPLA2_rev	cplx_MONOMER_Pla2g4b	0	pc	PCPLA2	h2o_c + pc_hs_c <-- FA_hs_c + h_c + lpc_hs_c
enzyme_PCPLD_fwd	cplx_MONOMER_Pld1	249955.97883228265	pc	PCPLD	h2o_c + pc_hs_c --> chol_c + h_c + pa_hs_c
enzyme_PCPLD_rev	cplx_MONOMER_Pld1	0	pc	PCPLD	h2o_c + pc_hs_c <-- chol_c + h_c + pa_hs_c
enzyme_PCPPLA2_fwd	cplx_HOMODIMER_Prdx6	125990.37218784784	pc	PCPPLA2	h2o_c + pcp_hs_c --> FA_hs_c + h_c + lpcp_hs_c
enzyme_PCPPLA2_fwd	cplx_MONOMER_Abhd16a	150596.85587009758	pc	PCPPLA2	h2o_c + pcp_hs_c --> FA_hs_c + h_c + lpcp_hs_c
enzyme_PCPPLA2_fwd	cplx_MONOMER_Pla2g4a	188655.56565882146	pc	PCPPLA2	h2o_c + pcp_hs_c --> FA_hs_c + h_c + lpcp_hs_c
enzyme_PCPPLA2_fwd	cplx_MONOMER_Pla2g4b	194001.46789843554	pc	PCPPLA2	h2o_c + pcp_hs_c --> FA_hs_c + h_c + lpcp_hs_c
enzyme_PCPPLA2_rev	cplx_HOMODIMER_Prdx6	0	pc	PCPPLA2	h2o_c + pcp_hs_c <-- FA_hs_c + h_c + lpcp_hs_c
enzyme_PCPPLA2_rev	cplx_MONOMER_Abhd16a	0	pc	PCPPLA2	h2o_c + pcp_hs_c <-- FA_hs_c + h_c + lpcp_hs_c
enzyme_PCPPLA2_rev	cplx_MONOMER_Pla2g4a	0	pc	PCPPLA2	h2o_c + pcp_hs_c <-- FA_hs_c + h_c + lpcp_hs_c
enzyme_PCPPLA2_rev	cplx_MONOMER_Pla2g4b	0	pc	PCPPLA2	h2o_c + pcp_hs_c <-- FA_hs_c + h_c + lpcp_hs_c
enzyme_PCSCRt_fwd	cplx_HOMODIMER_Ano6	374419.7338753055	pc	PCSCRt	pc_hs_c --> pc_hs_e
enzyme_PCSCRt_fwd	cplx_MONOMER_Plscr1	98668.08354620798	pc	PCSCRt	pc_hs_c --> pc_hs_e
enzyme_PCSCRt_fwd	cplx_MONOMER_Plscr2	94804.99670878546	pc	PCSCRt	pc_hs_c --> pc_hs_e
enzyme_PCSCRt_fwd	cplx_MONOMER_Plscr4	100050.59189365347	pc	PCSCRt	pc_hs_c --> pc_hs_e
enzyme_PCSCRt_rev	cplx_HOMODIMER_Ano6	374419.7338753055	pc	PCSCRt	pc_hs_c <-- pc_hs_e
enzyme_PCSCRt_rev	cplx_MONOMER_Plscr1	98668.08354620798	pc	PCSCRt	pc_hs_c <-- pc_hs_e
enzyme_PCSCRt_rev	cplx_MONOMER_Plscr2	94804.99670878546	pc	PCSCRt	pc_hs_c <-- pc_hs_e
enzyme_PCSCRt_rev	cplx_MONOMER_Plscr4	100050.59189365347	pc	PCSCRt	pc_hs_c <-- pc_hs_e
enzyme_PDEA_fwd	cplx_HOMODIMER_Pde2a	372640.84180127556	pc	PDEA	35camp_c + h2o_c --> amp_c + h_c
enzyme_PDEA_fwd	cplx_HOMODIMER_Pde3a	421664.8144382452	pc	PDEA	35camp_c + h2o_c --> amp_c + h_c
enzyme_PDEA_fwd	cplx_HOMODIMER_Pde3b	415619.3708511834	pc	PDEA	35camp_c + h2o_c --> amp_c + h_c
enzyme_PDEA_fwd	cplx_HOMODIMER_Pde4d	315350.77257178735	pc	PDEA	35camp_c + h2o_c --> amp_c + h_c
enzyme_PDEA_rev	cplx_HOMODIMER_Pde2a	0	pc	PDEA	35camp_c + h2o_c <-- amp_c + h_c
enzyme_PDEA_rev	cplx_HOMODIMER_Pde3a	0	pc	PDEA	35camp_c + h2o_c <-- amp_c + h_c
enzyme_PDEA_rev	cplx_HOMODIMER_Pde3b	0	pc	PDEA	35camp_c + h2o_c <-- amp_c + h_c
enzyme_PDEA_rev	cplx_HOMODIMER_Pde4d	0	pc	PDEA	35camp_c + h2o_c <-- amp_c + h_c
enzyme_PDEG_fwd	cplx_HOMODIMER_Pde1a	250971.05961467978	pc	PDEG	35cgmp_c + h2o_c --> gmp_c + h_c
enzyme_PDEG_fwd	cplx_HOMODIMER_Pde2a	372640.84180127556	pc	PDEG	35cgmp_c + h2o_c --> gmp_c + h_c
enzyme_PDEG_fwd	cplx_HOMODIMER_Pde3a	421664.8144382452	pc	PDEG	35cgmp_c + h2o_c --> gmp_c + h_c
enzyme_PDEG_fwd	cplx_HOMODIMER_Pde3b	415619.3708511834	pc	PDEG	35cgmp_c + h2o_c --> gmp_c + h_c
enzyme_PDEG_fwd	cplx_HOMODIMER_Pde5a	353437.8006280535	pc	PDEG	35cgmp_c + h2o_c --> gmp_c + h_c
enzyme_PDEG_fwd	cplx_HOMODIMER_Pde9a	248839.2943831921	pc	PDEG	35cgmp_c + h2o_c --> gmp_c + h_c
enzyme_PDEG_rev	cplx_HOMODIMER_Pde1a	0	pc	PDEG	35cgmp_c + h2o_c <-- gmp_c + h_c
enzyme_PDEG_rev	cplx_HOMODIMER_Pde2a	0	pc	PDEG	35cgmp_c + h2o_c <-- gmp_c + h_c
enzyme_PDEG_rev	cplx_HOMODIMER_Pde3a	0	pc	PDEG	35cgmp_c + h2o_c <-- gmp_c + h_c
enzyme_PDEG_rev	cplx_HOMODIMER_Pde3b	0	pc	PDEG	35cgmp_c + h2o_c <-- gmp_c + h_c
enzyme_PDEG_rev	cplx_HOMODIMER_Pde5a	0	pc	PDEG	35cgmp_c + h2o_c <-- gmp_c + h_c
enzyme_PDEG_rev	cplx_HOMODIMER_Pde9a	0	pc	PDEG	35cgmp_c + h2o_c <-- gmp_c + h_c
enzyme_PDEI_fwd	cplx_HOMODIMER_Pde2a	372640.84180127556	pc	PDEI	35cimp_c + h2o_c --> h_c + imp_c
enzyme_PDEI_fwd	cplx_HOMODIMER_Pde3a	421664.8144382452	pc	PDEI	35cimp_c + h2o_c --> h_c + imp_c
enzyme_PDEI_fwd	cplx_HOMODIMER_Pde3b	415619.3708511834	pc	PDEI	35cimp_c + h2o_c --> h_c + imp_c
enzyme_PDEI_fwd	cplx_HOMODIMER_Pde4d	315350.77257178735	pc	PDEI	35cimp_c + h2o_c --> h_c + imp_c
enzyme_PDEI_rev	cplx_HOMODIMER_Pde2a	0	pc	PDEI	35cimp_c + h2o_c <-- h_c + imp_c
enzyme_PDEI_rev	cplx_HOMODIMER_Pde3a	0	pc	PDEI	35cimp_c + h2o_c <-- h_c + imp_c
enzyme_PDEI_rev	cplx_HOMODIMER_Pde3b	0	pc	PDEI	35cimp_c + h2o_c <-- h_c + imp_c
enzyme_PDEI_rev	cplx_HOMODIMER_Pde4d	0	pc	PDEI	35cimp_c + h2o_c <-- h_c + imp_c
enzyme_PDX5PO_fwd	cplx_HOMODIMER_Pnpo	145453.41225558933	pc	PDX5PO	o2_c + pdx5p_c --> h2o2_c + pydx5p_c
enzyme_PDX5PO_rev	cplx_HOMODIMER_Pnpo	0	pc	PDX5PO	o2_c + pdx5p_c <-- h2o2_c + pydx5p_c
enzyme_PDXPP_fwd	cplx_HOMODIMER_Pdxp	150458.0637123998	pc	PDXPP	h2o_c + pdx5p_c --> pi_c + pydxn_c
enzyme_PDXPP_rev	cplx_HOMODIMER_Pdxp	0	pc	PDXPP	h2o_c + pdx5p_c <-- pi_c + pydxn_c
enzyme_PEFLIPt_fwd	cplx_HETERODIMER_Atp11a_Tmem30a	325833.6512049875	pc	PEFLIPt	atp_c + h2o_c + pe_hs_e --> adp_c + h_c + pe_hs_c + pi_c
enzyme_PEFLIPt_fwd	cplx_HETERODIMER_Atp11b_Tmem30a	323116.81865537656	pc	PEFLIPt	atp_c + h2o_c + pe_hs_e --> adp_c + h_c + pe_hs_c + pi_c
enzyme_PEFLIPt_fwd	cplx_HETERODIMER_Atp11c_Tmem30a	317145.1759021458	pc	PEFLIPt	atp_c + h2o_c + pe_hs_e --> adp_c + h_c + pe_hs_c + pi_c
enzyme_PEFLIPt_rev	cplx_HETERODIMER_Atp11a_Tmem30a	0	pc	PEFLIPt	atp_c + h2o_c + pe_hs_e <-- adp_c + h_c + pe_hs_c + pi_c
enzyme_PEFLIPt_rev	cplx_HETERODIMER_Atp11b_Tmem30a	0	pc	PEFLIPt	atp_c + h2o_c + pe_hs_e <-- adp_c + h_c + pe_hs_c + pi_c
enzyme_PEFLIPt_rev	cplx_HETERODIMER_Atp11c_Tmem30a	0	pc	PEFLIPt	atp_c + h2o_c + pe_hs_e <-- adp_c + h_c + pe_hs_c + pi_c
enzyme_PEFLOPt_fwd	cplx_MONOMER_Abca7	406194.1058838175	pc	PEFLOPt	atp_c + h2o_c + pe_hs_c --> adp_c + h_c + pe_hs_e + pi_c
enzyme_PEFLOPt_fwd	cplx_MONOMER_Abcb1a	274771.1305925095	pc	PEFLOPt	atp_c + h2o_c + pe_hs_c --> adp_c + h_c + pe_hs_e + pi_c
enzyme_PEFLOPt_fwd	cplx_MONOMER_Abcb1b	275267.8533712306	pc	PEFLOPt	atp_c + h2o_c + pe_hs_c --> adp_c + h_c + pe_hs_e + pi_c
enzyme_PEFLOPt_fwd	cplx_MONOMER_Abcb4	274373.120782396	pc	PEFLOPt	atp_c + h2o_c + pe_hs_c --> adp_c + h_c + pe_hs_e + pi_c
enzyme_PEFLOPt_rev	cplx_MONOMER_Abca7	0	pc	PEFLOPt	atp_c + h2o_c + pe_hs_c <-- adp_c + h_c + pe_hs_e + pi_c
enzyme_PEFLOPt_rev	cplx_MONOMER_Abcb1a	0	pc	PEFLOPt	atp_c + h2o_c + pe_hs_c <-- adp_c + h_c + pe_hs_e + pi_c
enzyme_PEFLOPt_rev	cplx_MONOMER_Abcb1b	0	pc	PEFLOPt	atp_c + h2o_c + pe_hs_c <-- adp_c + h_c + pe_hs_e + pi_c
enzyme_PEFLOPt_rev	cplx_MONOMER_Abcb4	0	pc	PEFLOPt	atp_c + h2o_c + pe_hs_c <-- adp_c + h_c + pe_hs_e + pi_c
