	UniProt	IPI	GI	UniParc
1520	Q9H6Y2	IPI00302990		
1521	Q9H6Z4	IPI00026337		
1522	Q9H7C9	IPI00100775		
1523	Q9H7D7	IPI00414197		
1524	Q9H814	IPI00303402		
1525	Q9H8H3	IPI00022300	4884372	
1526	Q9H8M7	IPI00549993		
1527	Q9H8W4	IPI00002424		
1528	Q9H993	IPI00002270		
1529	Q9H9A6	IPI00152998		
1530	Q9H9B4		38648664	
1531	Q9H9H4	IPI00002926		
1532	Q9H9Q2	IPI00009301	12232385	
1533	Q9HA64	IPI00099986		
1534	Q9HA65	IPI00002957	13097594	
1535	Q9HAB8	IPI00023987		
1536	Q9HBH5		10190746	
1537	Q9HBL0	IPI00307545		
1538	Q9HC38	IPI00032575;IPI00745272		
1539	Q9HCY8	IPI00010214		
1540	Q9HD40	IPI00302283		
1541	Q9HD42	IPI00382452		
1542	Q9HD47	IPI00025081		
1543	Q9HDC9	IPI00031131		
1544	Q9NP58		9955963	
1545	Q9NP59	IPI00005547	7657100	
1546	Q9NP72	IPI00014577		
1547	Q9NP79	IPI00017160		
1548	Q9NPQ8	IPI00100106	9368538	
1549	Q9NPZ5	IPI00221205		
1550	Q9NQE9		16041713	
1551	Q9NQG5	IPI00009659		
1552	Q9NQP4	IPI00015891		
1553	Q9NQS1	IPI00006904		
1554	Q9NQW6	IPI00032958		
1555	Q9NQW7	IPI00793375	9739017	
1556	Q9NQX3	IPI00016006	10880983	
1557	Q9NQY0	IPI00032966		
1558	Q9NR45	IPI00147874		
1559	Q9NR46	IPI00024540		
1560	Q9NR50	IPI00006504		
1561	Q9NRF8	IPI00645702		
1562	Q9NRN7	IPI00250297		
1563	Q9NRQ2	IPI00016776		
1564	Q9NRR5	IPI00024502		
1565	Q9NRS6	IPI00016820		
1566	Q9NRV9	IPI00148063	20336761	
1567	Q9NRW1	IPI00016891		
1568	Q9NRW7	IPI00090327		
1569	Q9NRX4	IPI00299977		
1570	Q9NRY5	IPI00329662	15030282	
1571	Q9NRZ9	IPI00010590		
