complex	compartment	subunits	genes	reactions	coefficients	cofactors	notes
cplx_HOMODIMER_Slc16a7	pm	protein_Slc16a7	Slc16a7	ACt2;D_LACt2;L_LACt2;PYRt2;2HB_5OXPROtex;2HB_ACACtex;2HB_ACtex;2HB_BUTtex;2HB_DLACtex;2HB_GLYCLTtex;2HB_PPAtex;2HBt2;2OBUT_2HBtex;2OBUT_5OXPROtex;2OBUT_ACACtex;2OBUT_ACtex;2OBUT_BUTtex;2OBUT_DLACtex;2OBUT_GLYCLTtex;2OBUT_LLACtex;2OBUT_PPAtex;2OBUTt;5OXPRO_ACACtex;5OXPRO_ACtex;5OXPRO_BUTtex;5OXPRO_DLACtex;5OXPRO_GLYCLTtex;5OXPRO_PPAtex;5OXPROt2;ACAC_ACtex;ACAC_GLYCLTtex;ACACt2;AC_GLYCLTtex;BUT_ACACtex;BUT_ACtex;BUT_GLYCLTtex;BUT_PPAtex;BUTt2r;DLAC_ACACtex;DLAC_ACtex;DLAC_BUTtex;DLAC_GLYCLTtex;DLAC_PPAtex;GLYCLTt2;H2SUCCt;LLAC_2HBtex;LLAC_5OXPROtex;LLAC_ACACtex;LLAC_ACtex;LLAC_BUTtex;LLAC_DLACtex;LLAC_GLYCLTtex;LLAC_PPAtex;PPA_ACACtex;PPA_ACtex;PPA_GLYCLTtex;PPAt2r;PYR_2HBtex;PYR_2OBUTtex;PYR_5OXPROtex;PYR_ACACtex;PYR_ACtex;PYR_BUTtex;PYR_DLACtex;PYR_GLYCLTtex;PYR_LLACtex;PYR_PPAtex;3MOBt2;4MOPt2	2
cplx_HOMODIMER_Slc30a1	pm	protein_Slc30a1	Slc30a1	ZN2Htex2	2
cplx_HOMODIMER_Slc39a10	pm	protein_Slc39a10	Slc39a10	ZN2t	2
cplx_HOMODIMER_Slc39a8	pm	protein_Slc39a8	Slc39a8	CD2_2HCO3t;COBALT2_2HCO3t;FE2_2HCO3t;MN2_2HCO3t;ZN2_2HCO3t;ZN2_HCO3_SELNIt	2
cplx_HOMODIMER_Slc4a1	pm	protein_Slc4a1	Slc4a1	HCO3_Cltex;ARSNA_Cltex;CYS_Cltex;Cl_PItex;FOR_Cltex;GLXCLtex;GLYCTCLtex;GLY_Cltex;HMOBD_Cltex;NO2_Cltex;NO3_Cltex;O2S_Cltex;ONOO_Cltex;SELNI_Cltex;SER_Cltex;SH1_Cltex;Cl_OH1tex;LLAC_Cltex;NACCYS_Cltex;PYR_Cltex	2
cplx_HOMODIMER_Slc4a2	pm	protein_Slc4a2	Slc4a2	HCO3_Cltex	2
cplx_HOMODIMER_Slc9a1	pm	protein_Slc9a1	Slc9a1	NaLitex	2
cplx_HOMODIMER_Slc9a6	pm	protein_Slc9a6	Slc9a6	NaHtex;KHtex	2
cplx_HOMODIMER_Slc9b2	pm	protein_Slc9b2	Slc9b2	NaHtex;NaLitex	2
cplx_HOMODIMER_Sms	c	protein_Sms	Sms	SPRMS	2
cplx_HOMODIMER_Sod1	c	protein_Sod1	Sod1	SPODM;SPODM2	2
cplx_HOMODIMER_Srm	c	protein_Srm	Srm	SPMS	2
cplx_HOMODIMER_St3gal2	c	protein_St3gal2	St3gal2	CMPACNAGA1;CMPACNAGD1B;CMPACNAGM1;CMPACNAGALBSD	2
cplx_HOMODIMER_Steap3	c	protein_Steap3	Steap3	TMCU2RDte;TMFE3RDte	2
cplx_HOMODIMER_Steap3	pm	protein_Steap3	Steap3	CU2RD;FE3RD	2
cplx_HOMODIMER_Taldo1	c	protein_Taldo1	Taldo1	TALA	2
cplx_HOMODIMER_Tars1	c	protein_Tars1	Tars1	THRTRS	2
cplx_HOMODIMER_Tkfc	c	protein_Tkfc	Tkfc	TRIOK;DHAK;FADL	2
cplx_HOMODIMER_Tkt	c	protein_Tkt	Tkt	TKT1;TKT2	2
cplx_HOMODIMER_Tpi1	c	protein_Tpi1	Tpi1	TPI	2
cplx_HOMODIMER_Trpc6	pm	protein_Trpc6	Trpc6	CA2t	2
cplx_HOMODIMER_Txn1	c	protein_Txn1	Txn1	CYSTRDX;DHLIPTRD;HCYSTRDX	2
cplx_HOMODIMER_Txndc17	c	protein_Txn1;protein_Txnrd1	Txn1;Txnrd1	MDHDASCBRy;TRDRy;METSELNEORy;METSELNIORy;SELNIOR3y	2
cplx_HOMODIMER_Txndc5	c	protein_Txndc17;protein_Txnrd1	Txndc17;Txnrd1	TRDRy;METSELNEORy;METSELNIORy;SELNIOR3y	2
cplx_HOMODIMER_Txnl1	c	protein_Txndc5	Txndc5	INSULINGTHOR	2
cplx_HOMODIMER_Txnrd1	c	protein_Txnl1;protein_Txnrd1	Txnl1;Txnrd1	MDHDASCBRy;TRDRy;METSELNEORy;METSELNIORy;SELNIOR3y	2
cplx_HOMODIMER_Uap1	c	protein_Uap1	Uap1	UAGALDP;UAGDP	2
cplx_HOMODIMER_Uba1	c	protein_Uba1	Uba1	UBIQE1ACT	2
cplx_HOMODIMER_Umps	c	protein_Umps	Umps	OMPDC;ORPT;5FLURAPT	2
cplx_HOMODIMER_Urod	c	protein_Urod	Urod	UPPG3DC;UPPG1DC	2
cplx_HOMODIMER_Vdac1	pm	protein_Vdac1	Vdac1	CA2t;LDPAMt;NAt;GLUte;Kt1;MG2tec;ACHt	2
cplx_HOMODIMER_Wars1	c	protein_Wars1	Wars1	TRPTRS	2
cplx_HOMODIMER_Xpnpep1	c	protein_Xpnpep1	Xpnpep1	APDPP;FPDPP;GPDPP;LPDPP;MPDPP;PPDPP;RPPTPAP;VPDPP	2
cplx_HOMODIMER_Yars1	c	protein_Yars1	Yars1	TYRTRS	2
cplx_HOMOHEPTAMER_Panx1	pm	protein_Panx1	Panx1	CA2t;NAt;SPMDtex2;ASPte;ATPte;Clt;GLUte;Kt1;GLCNte;It;NO3t	7
cplx_HOMOHEXAMER_Acot7	c	protein_Acot7	Acot7	FACOAE_10_0;FACOAE_11_0;FACOAE_12_0;FACOAE_13_0;FACOAE_14_0;FACOAE_14_5Z;FACOAE_14_7Z;FACOAE_14_9Z;FACOAE_15_0;FACOAE_16_0;FACOAE_16_7Z;FACOAE_16_9Z;FACOAE_17_0;FACOAE_17_10Z;FACOAE_17_9Z;FACOAE_18_0;FACOAE_18_11Z;FACOAE_18_13Z;FACOAE_18_6Z9Z;FACOAE_18_6Z9Z12Z;FACOAE_18_6Z9Z12Z15Z;FACOAE_18_7Z;FACOAE_18_9E;FACOAE_18_9Z;FACOAE_18_9Z12Z;FACOAE_18_9Z12Z15Z;FACOAE_19_0;FACOAE_20_0;FACOAE_20_11Z;FACOAE_20_11Z14Z;FACOAE_20_11Z14Z17Z;FACOAE_20_13Z;FACOAE_20_5Z8Z11Z;FACOAE_20_5Z8Z11Z14Z;FACOAE_20_5Z8Z11Z14Z17Z;FACOAE_20_8Z11Z;FACOAE_20_8Z11Z14Z;FACOAE_20_8Z11Z14Z17Z;FACOAE_20_9Z;FACOAE_8_0;FACOAE_9_0	6
cplx_HOMOHEXAMER_Cad	c	protein_Cad	Cad	ASPCT;DHORTS	6
cplx_HOMOHEXAMER_Cpt1a	c	protein_Cpt1a	Cpt1a	CRNAT_10_0;CRNAT_10_2E;CRNAT_10_2E6Z;CRNAT_10_3OH_S;CRNAT_10_DC;CRNAT_11_0;CRNAT_12_0;CRNAT_12_2E;CRNAT_12_3OH_S;CRNAT_12_DC;CRNAT_13_0;CRNAT_14_0;CRNAT_14_2E;CRNAT_14_3OH_S;CRNAT_14_5E8Z;CRNAT_14_5E8Z3OH_S;CRNAT_14_5Z;CRNAT_14_7Z;CRNAT_14_7Z3OH_S;CRNAT_14_9Z;CRNAT_15_0;CRNAT_16_0;CRNAT_16_2E;CRNAT_16_3OH_S;CRNAT_16_7E10Z3OH_S;CRNAT_16_7Z;CRNAT_16_9Z;CRNAT_16_9Z3OH_S;CRNAT_16_DC;CRNAT_17_0;CRNAT_17_10Z;CRNAT_17_9Z;CRNAT_18_0;CRNAT_18_11Z;CRNAT_18_13Z;CRNAT_18_2E;CRNAT_18_3OH_S;CRNAT_18_6Z9Z;CRNAT_18_6Z9Z12Z;CRNAT_18_6Z9Z12Z15Z;CRNAT_18_7Z;CRNAT_18_9E;CRNAT_18_9Z;CRNAT_18_9Z12Z;CRNAT_18_9Z12Z15Z;CRNAT_18_9Z12Z3OH_S;CRNAT_18_9Z3OH_S;CRNAT_19_0;CRNAT_20_0;CRNAT_20_11Z;CRNAT_20_11Z14Z;CRNAT_20_11Z14Z17Z;CRNAT_20_13Z;CRNAT_20_5Z8Z11Z;CRNAT_20_5Z8Z11Z14Z;CRNAT_20_5Z8Z11Z14Z17Z;CRNAT_20_8Z11Z;CRNAT_20_8Z11Z14Z;CRNAT_20_8Z11Z14Z17Z;CRNAT_20_9Z;CRNAT_21_0;CRNAT_22_0;CRNAT_22_10Z13Z16Z;CRNAT_22_10Z13Z16Z19Z;CRNAT_22_11Z;CRNAT_22_13Z;CRNAT_22_13Z16Z;CRNAT_22_13Z16Z19Z;CRNAT_22_4Z7Z10Z13Z16Z;CRNAT_22_4Z7Z10Z13Z16Z19Z;CRNAT_22_7Z10Z13Z16Z;CRNAT_22_7Z10Z13Z16Z19Z;CRNAT_6_0;CRNAT_6_2E;CRNAT_6_3OH_S;CRNAT_6_DC;CRNAT_7_0;CRNAT_7_3OH_S;CRNAT_7_DC;CRNAT_8_0;CRNAT_8_2E;CRNAT_8_3OH_S;CRNAT_8_DC;CRNAT_9_0;CRNAT_9_3OH_S;PROTKSUCT	6
cplx_HOMOHEXAMER_Gnpda1	c	protein_Gnpda1	Gnpda1	G6PDA	6
cplx_HOMOHEXAMER_Gnpda2	c	protein_Gnpda2	Gnpda2	G6PDA	6
cplx_HOMOHEXAMER_Lap3	c	protein_Lap3	Lap3	2ABUTGLYDP;AMPTASECG	6
cplx_HOMOHEXAMER_Lrrc8a	pm	protein_Lrrc8a	Lrrc8a	ALABt;ASPte;Clt;GLUte;INOSTt;TAURt;It	6
cplx_HOMOHEXAMER_Nadsyn1	c	protein_Nadsyn1	Nadsyn1	NADS2	6
cplx_HOMOHEXAMER_Nme1	c	protein_Nme1	Nme1	NDPK1;NDPK2;NDPK3;NDPK10;NDPK5;NDPK8;NDPK9;NDPK4;NDPK6;NDPK7;RBVDPK;THGDPK;5FLUDPK	6
cplx_HOMOHEXAMER_Nme2	c	protein_Nme2	Nme2	NDPK1;NDPK2;NDPK3;PROTNK1;PROTNK2;NDPK10;NDPK5;NDPK8;NDPK9;NDPK4;NDPK6;NDPK7;RBVDPK;THGDPK;5FLUDPK	6
cplx_HOMOHEXAMER_Nme3	c	protein_Nme3	Nme3	NDPK1;NDPK2;NDPK3;NDPK10;NDPK5;NDPK8;NDPK9;NDPK4;NDPK6;NDPK7;5FLUDPK	6
cplx_HOMOHEXAMER_Nsf	c	protein_Nsf	Nsf	NTPA	6
cplx_HOMOHEXAMER_Pts	c	protein_Pts	Pts	PTHPS	6
cplx_HOMOHEXAMER_Ruvbl1	c	protein_Ruvbl1	Ruvbl1	NTPA	6
cplx_HOMOHEXAMER_Ruvbl2	c	protein_Ruvbl2	Ruvbl2	NTPA	6
cplx_HOMOOCTAMER_Ugp2	c	protein_Ugp2	Ugp2	GALT;GALU	8
cplx_HOMOOCTOMER_Alad	c	protein_Alad	Alad	PPBNGS	8
cplx_HOMOOCTOMER_Paics	c	protein_Paics	Paics	AIRC;PRASCS	8
cplx_HOMOOCTOMER_Prmt1	c	protein_Prmt1	Prmt1	PRMTADMA;PRMTMMA	8
cplx_HOMOTETRAMER_Abca1	pm	protein_Abca1	Abca1	PCFLOPt;PSFLOPt;SMFLOPt	4
cplx_HOMOTETRAMER_Abcg2	pm	protein_Abcg2	Abcg2	RIBFLVABCte;5FTHFABCte;5MTHFABCte;FE2PHEMEABCte;HEMATINABCte;INDSABCte;PPP9ABCte;SPHS1PABCte;URATEABCte;5FLURAABCte;DHEASABCte;E217BGLCRABCte	4
cplx_HOMOTETRAMER_Abcg3	pm	protein_Abcg3	Abcg3	RIBFLVABCte;5FTHFABCte;5MTHFABCte;FE2PHEMEABCte;HEMATINABCte;INDSABCte;PPP9ABCte;SPHS1PABCte;URATEABCte;5FLURAABCte;DHEASABCte;E217BGLCRABCte	4
cplx_HOMOTETRAMER_Acat2	c	protein_Acat2	Acat2	ACACT1	4
cplx_HOMOTETRAMER_Acly	c	protein_Acly	Acly	ACITL	4
cplx_HOMOTETRAMER_Adsl	c	protein_Adsl	Adsl	ADSL1;ADSL2	4
cplx_HOMOTETRAMER_Ahcy	c	protein_Ahcy	Ahcy	AHC;SEAHCYSHYD	4
cplx_HOMOTETRAMER_Aldh1a1	c	protein_Aldh1a1	Aldh1a1	ALDD2x;ABUTDx;3DGDH;4H2HXEAL2EDHx;4H2NNEAL2EDHx;BZALDHx;HPTALDHx;HPTEAL2EDHx;HXALDHx;HXEAL2EDHx;MALDHx;NONALDHx;NONEAL2EDHx;OCTALDHx;OCTEAL2EDHx;PPALDHx;RADH1x;RADH2x;RADH3x;RADH4x	4
cplx_HOMOTETRAMER_Aldh1a7	c	protein_Aldh1a7	Aldh1a7	ALDD2x;ABUTDx;3DGDH;4H2HXEAL2EDHx;4H2NNEAL2EDHx;BZALDHx;HPTALDHx;HPTEAL2EDHx;HXALDHx;HXEAL2EDHx;MALDHx;NONALDHx;NONEAL2EDHx;OCTALDHx;OCTEAL2EDHx;PPALDHx;RADH1x;RADH2x;RADH3x;RADH4x	4
cplx_HOMOTETRAMER_Aldh9a1	c	protein_Aldh9a1	Aldh9a1	ALDD2x;ABUTDx;BAMPPALDOXx;NABTNO;GLYALDD;BETALDDHx;TMABADH;BZALDHx;HPTALDHx;HPTEAL2EDHx;HXALDHx;HXEAL2EDHx;NONALDHx;NONEAL2EDHx;OCTALDHx;OCTEAL2EDHx;PPALDHx;5HOXINDACTOX;GLACOx;IMACTD;ALDD20x;MMALNDHx	4
cplx_HOMOTETRAMER_Aldoa	c	protein_Aldoa	Aldoa	FBA;FBA2;FBA3;FBA6	4
cplx_HOMOTETRAMER_Aldob	c	protein_Aldob	Aldob	FBA;FBA2;FBA3;FBA6	4
cplx_HOMOTETRAMER_Aldoc	c	protein_Aldoc	Aldoc	FBA;FBA2;FBA3;FBA6	4
cplx_HOMOTETRAMER_Ampd3	c	protein_Ampd3	Ampd3	AMPDA	4
cplx_HOMOTETRAMER_Apeh	c	protein_Apeh	Apeh	ACMAH	4
cplx_HOMOTETRAMER_Apip	c	protein_Apip	Apip	MDRPD	4
cplx_HOMOTETRAMER_Aqp1	pm	protein_Aqp1	Aqp1	CO2t;H2Ot;O2t;NH3t;NOt;O2St;NH4t	4
cplx_HOMOTETRAMER_Aqp3	pm	protein_Aqp3	Aqp3	H2Ot;GLYCt;ARSNIt;NH3t;NH4t	4
cplx_HOMOTETRAMER_Asl	c	protein_Asl	Asl	ARGSL	4
cplx_HOMOTETRAMER_Bhmt	c	protein_Bhmt	Bhmt	BHMT	4
cplx_HOMOTETRAMER_Cat	c	protein_Cat	Cat	CAT;56DHIPX;ADRNLPX_L;DOPAPX_L;DPAMPX_L;LADRNCHRPX;LDPAMCHRPX;LDPCHRPX_L;LNRPPHRCHRPX;NRPPHRPX_L;MEOHP	4
cplx_HOMOTETRAMER_Cth	c	protein_Cth	Cth	CYSLNET;CYSTL1;SELCYSTL1;SELMETHL1;CYSIL2;CYSL2;CYSTL2	4
cplx_HOMOTETRAMER_Ctps1	c	protein_Ctps1	Ctps1	GLUN;CTPS1;CTPS2	4
cplx_HOMOTETRAMER_Ctps2	c	protein_Ctps2	Ctps2	GLUN;CTPS1;CTPS2	4
cplx_HOMOTETRAMER_Dctpp1	c	protein_Dctpp1	Dctpp1	NDPC;NTPPDC	4
cplx_HOMOTETRAMER_Dcxr	c	protein_Dcxr	Dcxr	XYLUR_Ly	4
cplx_HOMOTETRAMER_Dhrs11	c	protein_Dhrs11	Dhrs11	5ADHTRy;ANDRSTNDNRy;ESTRONEDHy;PRGSTRNRy	4
cplx_HOMOTETRAMER_Ebp	c	protein_Ebp	Ebp	CHLSTD78I;CHLSTI1	4
cplx_HOMOTETRAMER_Fh1	c	protein_Fh1	Fh1	FUM	4
cplx_HOMOTETRAMER_G6pd2	c	protein_G6pd2	G6pd2	G6PDH2	4
cplx_HOMOTETRAMER_G6pdx	c	protein_G6pdx	G6pdx	G6PDH2	4
cplx_HOMOTETRAMER_Gapdh	c	protein_Gapdh	Gapdh	GAPD;E4PD;NADHHR;NADHHS	4
cplx_HOMOTETRAMER_Gapdhs	c	protein_Gapdhs	Gapdhs	GAPD	4
cplx_HOMOTETRAMER_Gmpr	c	protein_Gmpr	Gmpr	GMPR	4
cplx_HOMOTETRAMER_Gmpr2	c	protein_Gmpr2	Gmpr2	GMPR	4
cplx_HOMOTETRAMER_Gpx1	c	protein_Gpx1	Gpx1	GTHP;HPETE11GTHR;HPETE12GTHR;HPETE15GTHR;HPETE5GTHR;HPETE8GTHR;HPETE9GTHR;HPDHA10GTHR;HPDHA11GTHR;HPDHA13GTHR;HPDHA14GTHR;HPDHA16GTHR;HPDHA17GTHR;HPDHA20GTHR;HPDHA4GTHR;HPDHA7GTHR;HPDHA8GTHR;HPEPE11GTHR;HPEPE12GTHR;HPEPE15GTHR;HPEPE18GTHR;HPEPE5GTHR;HPEPE8GTHR;HPEPE9GTHR;HPODE13GTHR;HPODE9GTHR;PGG1GTHR;PGG2GTHR;PGG3GTHR;SELDIGTHOXy;SELGTHGTHR	4
cplx_HOMOTETRAMER_Gria1	pm	protein_Gria1	Gria1	CA2t;NAt;Kt1;LIt;MG2tec	4
cplx_HOMOTETRAMER_Gusb	pm	protein_Gusb	Gusb	E217BGLCRHYD	4
cplx_HOMOTETRAMER_Hprt1	c	protein_Hprt1	Hprt1	GUAPRT;HXPRT;MERCPURPRT;MTMERCPURPRT;THIOGUAPRT;XPPT	4
cplx_HOMOTETRAMER_Impdh2	c	protein_Impdh2	Impdh2	IMPD;THIOIMPD	4
cplx_HOMOTETRAMER_Kcnab2	pm	protein_Kcnab2	Kcnab2	Kt1	4
cplx_HOMOTETRAMER_Kcnn4	pm	protein_Kcnn4	Kcnn4	Kt1	4
cplx_HOMOTETRAMER_Ldha	c	protein_Ldha	Ldha	LDH_L;L2HGDHx;2HBO;MCLOR;HPYRRx_S;GLXO1;GLYCLTDx;2H3MV;2HIV	4
cplx_HOMOTETRAMER_Ldhb	c	protein_Ldhb	Ldhb	LDH_L;L2HGDHx;2HBO;MCLOR;HPYRRx_S;GLXO1;GLYCLTDx;2H3MV;2HIV	4
cplx_HOMOTETRAMER_Me1	c	protein_Me1	Me1	ME2;OAADC	4
cplx_HOMOTETRAMER_Nmnat3	c	protein_Nmnat3	Nmnat3	NMNAT;NNAT;4PYRNMAT;NMNHAT	4
cplx_HOMOTETRAMER_Npl	c	protein_Npl	Npl	ACNML	4
cplx_HOMOTETRAMER_Nt5c2	c	protein_Nt5c2	Nt5c2	NICHYD;NTDIMP;NMNHYD;NTDAMP;NTDGMP;4PYRNN;CMPINSPT;AMPINSPT;DGMPGSNPT;DGMPINSPT;DIMPGSNPT;DIMPINSPT;IMGPT;NTDXMP;NTDDIMP;NTDDGMP;NTDSAMP;NTDSZMP;NTDZMP;UMPINSPT;RBVIMPT;RBVNTD	4
cplx_HOMOTETRAMER_Pcbd1	c	protein_Pcbd1	Pcbd1	THBPT4ACAMDASE	4
cplx_HOMOTETRAMER_Pcbd2	c	protein_Pcbd2	Pcbd2	THBPT4ACAMDASE	4
cplx_HOMOTETRAMER_Pfkl	c	protein_Pfkl	Pfkl	PFK	4
cplx_HOMOTETRAMER_Pfkm	c	protein_Pfkm	Pfkm	PFK	4
cplx_HOMOTETRAMER_Pfkp	c	protein_Pfkp	Pfkp	PFK	4
cplx_HOMOTETRAMER_Phgdh	c	protein_Phgdh	Phgdh	MDH;L2HGDHx;PGCD	4
cplx_HOMOTETRAMER_Pklr	c	protein_Pklr	Pklr	PYK;2LACK_L;PGLYCK	4
cplx_HOMOTETRAMER_Pkm	c	protein_Pkm	Pkm	PYK;2LACK_L;PGLYCK	4
cplx_HOMOTETRAMER_Pygb	c	protein_Pygb	Pygb	GLPASE1;GLPASE2	4
cplx_HOMOTETRAMER_Pygl	c	protein_Pygl	Pygl	GLPASE1;GLPASE2	4
cplx_HOMOTETRAMER_Pygm	c	protein_Pygm	Pygm	GLPASE1;GLPASE2	4
cplx_HOMOTETRAMER_Shmt1	c	protein_Shmt1	Shmt1	GHMT2;GHMT4;THRA;GHMT3	4
cplx_HOMOTETRAMER_Slc2a1	pm	protein_Slc2a1	Slc2a1	ASCBt;DHAAt1r;GAMt1r;MANt1r;ARAB_Lt;GAL_Dt;GAL_bDt;GLC_Dt;GLC_aDt	4
cplx_HOMOTETRAMER_Slc2a2	pm	protein_Slc2a2	Slc2a2	ASCBt;DHAAt1r;FRUt1r;GAL_Dt;GAL_bDt;GLC_Dt;GLC_aDt	4
cplx_HOMOTETRAMER_Slc2a3	pm	protein_Slc2a3	Slc2a3	ASCBt;DHAAt1r;GLC_Dt;GLC_aDt;MANt1r;ARAB_Lt;GAL_Dt;GAL_bDt;XYLt	4
cplx_HOMOTETRAMER_Slc2a4	pm	protein_Slc2a4	Slc2a4	ASCBt;DHAAt1r;GAMt1r;GLC_Dt;GLC_aDt	4
cplx_HOMOTETRAMER_Slc4a1	pm	protein_Slc4a1	Slc4a1	HCO3_Cltex;ARSNA_Cltex;CYS_Cltex;Cl_PItex;FOR_Cltex;GLXCLtex;GLYCTCLtex;GLY_Cltex;HMOBD_Cltex;NO2_Cltex;NO3_Cltex;O2S_Cltex;ONOO_Cltex;SELNI_Cltex;SER_Cltex;SH1_Cltex;Cl_OH1tex;LLAC_Cltex;NACCYS_Cltex;PYR_Cltex	4
cplx_HOMOTETRAMER_Sord	c	protein_Sord	Sord	SBTD_D2;XYLTD_Dx;ERTHSD_Dy;RBTDG2_Dx;THRTLD_Lx	4
cplx_HOMOTETRAMER_Trpv2	pm	protein_Trpv2	Trpv2	CA2t	4
cplx_HOMOTETRAMER_Tspo2	pm	protein_Tspo2	Tspo2	5AOPt2	4
cplx_HOMOTRIMER_Arg1	c	protein_Arg1	Arg1	ARGN	3
cplx_HOMOTRIMER_Cpt1a	c	protein_Cpt1a	Cpt1a	CRNAT_10_0;CRNAT_10_2E;CRNAT_10_2E6Z;CRNAT_10_3OH_S;CRNAT_10_DC;CRNAT_11_0;CRNAT_12_0;CRNAT_12_2E;CRNAT_12_3OH_S;CRNAT_12_DC;CRNAT_13_0;CRNAT_14_0;CRNAT_14_2E;CRNAT_14_3OH_S;CRNAT_14_5E8Z;CRNAT_14_5E8Z3OH_S;CRNAT_14_5Z;CRNAT_14_7Z;CRNAT_14_7Z3OH_S;CRNAT_14_9Z;CRNAT_15_0;CRNAT_16_0;CRNAT_16_2E;CRNAT_16_3OH_S;CRNAT_16_7E10Z3OH_S;CRNAT_16_7Z;CRNAT_16_9Z;CRNAT_16_9Z3OH_S;CRNAT_16_DC;CRNAT_17_0;CRNAT_17_10Z;CRNAT_17_9Z;CRNAT_18_0;CRNAT_18_11Z;CRNAT_18_13Z;CRNAT_18_2E;CRNAT_18_3OH_S;CRNAT_18_6Z9Z;CRNAT_18_6Z9Z12Z;CRNAT_18_6Z9Z12Z15Z;CRNAT_18_7Z;CRNAT_18_9E;CRNAT_18_9Z;CRNAT_18_9Z12Z;CRNAT_18_9Z12Z15Z;CRNAT_18_9Z12Z3OH_S;CRNAT_18_9Z3OH_S;CRNAT_19_0;CRNAT_20_0;CRNAT_20_11Z;CRNAT_20_11Z14Z;CRNAT_20_11Z14Z17Z;CRNAT_20_13Z;CRNAT_20_5Z8Z11Z;CRNAT_20_5Z8Z11Z14Z;CRNAT_20_5Z8Z11Z14Z17Z;CRNAT_20_8Z11Z;CRNAT_20_8Z11Z14Z;CRNAT_20_8Z11Z14Z17Z;CRNAT_20_9Z;CRNAT_21_0;CRNAT_22_0;CRNAT_22_10Z13Z16Z;CRNAT_22_10Z13Z16Z19Z;CRNAT_22_11Z;CRNAT_22_13Z;CRNAT_22_13Z16Z;CRNAT_22_13Z16Z19Z;CRNAT_22_4Z7Z10Z13Z16Z;CRNAT_22_4Z7Z10Z13Z16Z19Z;CRNAT_22_7Z10Z13Z16Z;CRNAT_22_7Z10Z13Z16Z19Z;CRNAT_6_0;CRNAT_6_2E;CRNAT_6_3OH_S;CRNAT_6_DC;CRNAT_7_0;CRNAT_7_3OH_S;CRNAT_7_DC;CRNAT_8_0;CRNAT_8_2E;CRNAT_8_3OH_S;CRNAT_8_DC;CRNAT_9_0;CRNAT_9_3OH_S;PROTKSUCT	3
cplx_HOMOTRIMER_Ddt	c	protein_Ddt	Ddt	DOPACHRMDC_D	3
cplx_HOMOTRIMER_Gphn	c	protein_Gphn	Gphn	MPMOBDT;MPTAT	3
cplx_HOMOTRIMER_Mgst2	c	protein_Mgst2	Mgst2	23E1QN1GST;23E1QN4GST;23E2QN1GST;23E2QN4GST;34E1QN2GST;34E2QN2GST;GTHLEUKTRA4;GTHLEUKTRA5;ADRNCHRGST;ADRNLQGST_L;DOPAQGST_L;DPAMCHRGST;DPAMQGST_L;DPCHRGST_L;IND56QNGST;NRPPHRCHRGST;NRPPHRQGST_L;PROSTGA1GST;PROSTGA2GST;PROSTGA3GST	3
cplx_HOMOTRIMER_Mif	c	protein_Mif	Mif	34HPPT;DCT;PHPYRT	3
cplx_HOMOTRIMER_Mtap	c	protein_Mtap	Mtap	MTAP	3
cplx_HOMOTRIMER_Ogt	c	protein_Ogt	Ogt	PROTSACGAMT;PROTTACGAMT	3
cplx_HOMOTRIMER_P2rx1	pm	protein_P2rx1	P2rx1	CA2t;NAt;Kt1	3
cplx_HOMOTRIMER_P2rx2	pm	protein_P2rx2	P2rx2	CA2t;NAt;Kt1	3
cplx_HOMOTRIMER_P2rx7	pm	protein_P2rx7	P2rx7	CA2t;NAt;Kt1	3
cplx_HOMOTRIMER_Piezo1	pm	protein_Piezo1	Piezo1	CA2t;NAt;CD2t;Kt1;MG2tec;MN2t	3
cplx_HOMOTRIMER_Pnp	c	protein_Pnp	Pnp	PNP2;PUNP3;PUNP5;PNP;PUNP4;PUNP6;PUNP7;RBVPNP;THIOGSNPNP	3
cplx_HOMOTRIMER_Ppcdc	c	protein_Ppcdc	Ppcdc	PPCDC	3
cplx_HOMOTRIMER_Rida	c	protein_Rida	Rida	2IMBUTDA;2IMPPADA	3
cplx_HOMOTRIMER_Sirt2	c	protein_Sirt2	Sirt2	PROTKNADDAC	3
cplx_HOMOTRIMER_Slc14a1	pm	protein_Slc14a1	Slc14a1	UREAt	3
cplx_HOMOTRIMER_Slc1a1	pm	protein_Slc1a1	Slc1a1	ASPNaHKtex;GLUNaHKtex	3
cplx_HOMOTRIMER_Slc1a4	pm	protein_Slc1a4	Slc1a4	4HPROLTASCT1;ALACYSNaEx;ALAHCYSNaEx;ALAPROASCT1;ALASERNaEx;ALATHRNaEx;CYSALANaEx;CYSSERNaEx;CYSTHRNaEx;HCYSALANaEx;HCYSSERNaEx;HCYSTHRNaEx;SERALANaEx;SERCYSNaEx;SERHCYSNaEx;SERTHRNaEx;THRALANaEx;THRCYSNaEx;THRHCYSNaEx;THRSERNaEx	3
