enzyme	complex	complex_keff	compartment	reactions	direction
enzyme_ADPGKa_rev	cplx_MONOMER_ADPGK	0	pc	ADPGKa	adp_c + glc__aD_c <-- amp_c + g6p__aD_c + h_c
enzyme_ADPGLCDP_fwd	cplx_HOMODIMER_NUDT5	124838.1589172729	pc	ADPGLCDP	adpglc_c + h2o_c --> amp_c + g1p_c + 2.0 h_c
enzyme_ADPGLCDP_rev	cplx_HOMODIMER_NUDT5	0	pc	ADPGLCDP	adpglc_c + h2o_c <-- amp_c + g1p_c + 2.0 h_c
enzyme_ADPMNDP_fwd	cplx_HOMODIMER_NUDT5	124838.1589172729	pc	ADPMNDP	adpman_c + h2o_c --> amp_c + 2.0 h_c + man1p_c
enzyme_ADPMNDP_rev	cplx_HOMODIMER_NUDT5	0	pc	ADPMNDP	adpman_c + h2o_c <-- amp_c + 2.0 h_c + man1p_c
enzyme_ADPRDACAC1_fwd	cplx_MONOMER_ADPRS	105652.78115086842	pc	ADPRDACAC1	1acadprib_c + h2o_c --> ac_c + adprib_c + h_c
enzyme_ADPRDACAC1_rev	cplx_MONOMER_ADPRS	0	pc	ADPRDACAC1	1acadprib_c + h2o_c <-- ac_c + adprib_c + h_c
enzyme_ADPRDACAC2_fwd	cplx_MONOMER_OARD1	56823.77047528337	pc	ADPRDACAC2	2acadprib_c + h2o_c --> ac_c + adprib_c + h_c
enzyme_ADPRDACAC2_rev	cplx_MONOMER_OARD1	0	pc	ADPRDACAC2	2acadprib_c + h2o_c <-- ac_c + adprib_c + h_c
enzyme_ADPRDP_fwd	cplx_HOMODIMER_NUDT5	124838.1589172729	pc	ADPRDP	adprib_c + h2o_c --> amp_c + 2.0 h_c + r5p_c
enzyme_ADPRDP_rev	cplx_HOMODIMER_NUDT5	0	pc	ADPRDP	adprib_c + h2o_c <-- amp_c + 2.0 h_c + r5p_c
enzyme_ADPRPI_fwd	cplx_HOMODIMER_RPIA	157944.167129861	pc	ADPRPI	adprib_c --> adpribu_c
enzyme_ADPRPI_rev	cplx_HOMODIMER_RPIA	157944.167129861	pc	ADPRPI	adprib_c <-- adpribu_c
enzyme_ADPRUDP_fwd	cplx_HOMODIMER_NUDT5	124838.1589172729	pc	ADPRUDP	adpribu_c + h2o_c --> amp_c + 2.0 h_c + ru5p__D_c
enzyme_ADPRUDP_rev	cplx_HOMODIMER_NUDT5	0	pc	ADPRUDP	adpribu_c + h2o_c <-- amp_c + 2.0 h_c + ru5p__D_c
enzyme_ADPT_fwd	cplx_HOMODIMER_APRT	106223.87074438689	pc	ADPT	ade_c + prpp_c --> amp_c + ppi_c
enzyme_ADPT_rev	cplx_HOMODIMER_APRT	0	pc	ADPT	ade_c + prpp_c <-- amp_c + ppi_c
enzyme_ADRNCHR1ERx_fwd	cplx_COMPLEX_CYB5R3_B5A	135310.99365450782	pc	ADRNCHR1ERx	2.0 adrnchrm_c + h_c + nadh_c --> 2.0 adrnchrmsqn_c + nad_c
enzyme_ADRNCHR1ERx_fwd	cplx_COMPLEX_CYB5R3_B5B	155183.4697183303	pc	ADRNCHR1ERx	2.0 adrnchrm_c + h_c + nadh_c --> 2.0 adrnchrmsqn_c + nad_c
enzyme_ADRNCHR1ERx_fwd	cplx_MONOMER_CYB5R3	90411.35028515445	pc	ADRNCHR1ERx	2.0 adrnchrm_c + h_c + nadh_c --> 2.0 adrnchrmsqn_c + nad_c
enzyme_ADRNCHR1ERx_rev	cplx_COMPLEX_CYB5R3_B5A	0	pc	ADRNCHR1ERx	2.0 adrnchrm_c + h_c + nadh_c <-- 2.0 adrnchrmsqn_c + nad_c
enzyme_ADRNCHR1ERx_rev	cplx_COMPLEX_CYB5R3_B5B	0	pc	ADRNCHR1ERx	2.0 adrnchrm_c + h_c + nadh_c <-- 2.0 adrnchrmsqn_c + nad_c
enzyme_ADRNCHR1ERx_rev	cplx_MONOMER_CYB5R3	0	pc	ADRNCHR1ERx	2.0 adrnchrm_c + h_c + nadh_c <-- 2.0 adrnchrmsqn_c + nad_c
enzyme_ADRNCHR2ERy_fwd	cplx_MONOMER_CBR1	87716.47044181285	pc	ADRNCHR2ERy	adrnchrm_c + h_c + nadph_c --> leuadrnchrm_c + nadp_c
enzyme_ADRNCHR2ERy_fwd	cplx_MONOMER_CBR3	88728.64292169764	pc	ADRNCHR2ERy	adrnchrm_c + h_c + nadph_c --> leuadrnchrm_c + nadp_c
