reactions	references
6PTHPDH2	pubmed:10727395;pubmed:2079837;pubmed:2762302
AHDTPPPH
DHBPTT	pubmed:10727395;pubmed:2079837;pubmed:2762302
DHPRx	pubmed:2079837;pubmed:2762302;pubmed:3732224;pubmed:6438398
DHPRy	pubmed:2079837;pubmed:2762302;pubmed:3732224;pubmed:6438398
GTPCH1	pubmed:2079837;pubmed:2762302;pubmed:3318829;pubmed:8926533
GTPCH2	pubmed:2079837;pubmed:2762302;pubmed:3318829;pubmed:8926533
GTPCH3	pubmed:2079837;pubmed:2762302;pubmed:3318829;pubmed:8926533
GTPCH4	pubmed:2079837;pubmed:2762302;pubmed:3318829;pubmed:8926533
PTHPS	pubmed:2079837;pubmed:2762302;pubmed:3276524;pubmed:3308682
SPPTDH	pubmed:10727395;pubmed:2079837;pubmed:21910479;pubmed:2762302;pubmed:8070312
THBPT4ACAMDASE	pubmed:10727395;pubmed:2079837;pubmed:2762302
CRNAT_10_0	pubmed:1618773;pubmed:2039446;pubmed:31385330;pubmed:33103907;pubmed:33477427;pubmed:35710135
CRNAT_11_0	pubmed:1618773;pubmed:2039446;pubmed:31385330;pubmed:33103907;pubmed:33477427;pubmed:35710135
CRNAT_12_0	pubmed:1618773;pubmed:2039446;pubmed:31385330;pubmed:33103907;pubmed:33477427;pubmed:35710135
CRNAT_13_0	pubmed:1618773;pubmed:2039446;pubmed:31385330;pubmed:33103907;pubmed:33477427;pubmed:35710135
CRNAT_14_0	pubmed:1618773;pubmed:2039446;pubmed:31385330;pubmed:33103907;pubmed:33477427;pubmed:35710135
CRNAT_14_5Z	pubmed:1618773;pubmed:2039446;pubmed:31385330;pubmed:33103907;pubmed:33477427;pubmed:35710135
CRNAT_14_7Z	pubmed:1618773;pubmed:2039446;pubmed:31385330;pubmed:33103907;pubmed:33477427;pubmed:35710135
CRNAT_14_9Z	pubmed:1618773;pubmed:2039446;pubmed:31385330;pubmed:33103907;pubmed:33477427;pubmed:35710135
CRNAT_15_0	pubmed:1618773;pubmed:2039446;pubmed:31385330;pubmed:33103907;pubmed:33477427;pubmed:35710135
CRNAT_16_0	pubmed:1618773;pubmed:2039446;pubmed:31385330;pubmed:33103907;pubmed:33477427;pubmed:35710135
CRNAT_16_7Z	pubmed:1618773;pubmed:2039446;pubmed:31385330;pubmed:33103907;pubmed:33477427;pubmed:35710135
CRNAT_16_9Z	pubmed:1618773;pubmed:2039446;pubmed:31385330;pubmed:33103907;pubmed:33477427;pubmed:35710135
CRNAT_17_0	pubmed:1618773;pubmed:2039446;pubmed:31385330;pubmed:33103907;pubmed:33477427;pubmed:35710135
CRNAT_17_10Z	pubmed:1618773;pubmed:2039446;pubmed:31385330;pubmed:33103907;pubmed:33477427;pubmed:35710135
CRNAT_17_9Z	pubmed:1618773;pubmed:2039446;pubmed:31385330;pubmed:33103907;pubmed:33477427;pubmed:35710135
CRNAT_18_0	pubmed:1618773;pubmed:2039446;pubmed:31385330;pubmed:33103907;pubmed:33477427;pubmed:35710135
CRNAT_18_11Z	pubmed:1618773;pubmed:2039446;pubmed:31385330;pubmed:33103907;pubmed:33477427;pubmed:35710135
CRNAT_18_13Z	pubmed:1618773;pubmed:2039446;pubmed:31385330;pubmed:33103907;pubmed:33477427;pubmed:35710135
CRNAT_18_6Z9Z	pubmed:1618773;pubmed:2039446;pubmed:31385330;pubmed:33103907;pubmed:33477427;pubmed:35710135
CRNAT_18_6Z9Z12Z	pubmed:1618773;pubmed:2039446;pubmed:31385330;pubmed:33103907;pubmed:33477427;pubmed:35710135
CRNAT_18_6Z9Z12Z15Z	pubmed:1618773;pubmed:2039446;pubmed:31385330;pubmed:33103907;pubmed:33477427;pubmed:35710135
CRNAT_18_7Z	pubmed:1618773;pubmed:2039446;pubmed:31385330;pubmed:33103907;pubmed:33477427;pubmed:35710135
CRNAT_18_9E	pubmed:1618773;pubmed:2039446;pubmed:31385330;pubmed:33103907;pubmed:33477427;pubmed:35710135
CRNAT_18_9Z	pubmed:1618773;pubmed:2039446;pubmed:31385330;pubmed:33103907;pubmed:33477427;pubmed:35710135
CRNAT_18_9Z12Z	pubmed:1618773;pubmed:2039446;pubmed:31385330;pubmed:33103907;pubmed:33477427;pubmed:35710135
CRNAT_18_9Z12Z15Z	pubmed:1618773;pubmed:2039446;pubmed:31385330;pubmed:33103907;pubmed:33477427;pubmed:35710135
CRNAT_19_0	pubmed:1618773;pubmed:2039446;pubmed:31385330;pubmed:33103907;pubmed:33477427;pubmed:35710135
CRNAT_20_0	pubmed:1618773;pubmed:2039446;pubmed:31385330;pubmed:33103907;pubmed:33477427;pubmed:35710135
CRNAT_20_11Z	pubmed:1618773;pubmed:2039446;pubmed:31385330;pubmed:33103907;pubmed:33477427;pubmed:35710135
CRNAT_20_11Z14Z	pubmed:1618773;pubmed:2039446;pubmed:31385330;pubmed:33103907;pubmed:33477427;pubmed:35710135
CRNAT_20_11Z14Z17Z	pubmed:1618773;pubmed:2039446;pubmed:31385330;pubmed:33103907;pubmed:33477427;pubmed:35710135
CRNAT_20_13Z	pubmed:1618773;pubmed:2039446;pubmed:31385330;pubmed:33103907;pubmed:33477427;pubmed:35710135
CRNAT_20_5Z8Z11Z	pubmed:1618773;pubmed:2039446;pubmed:31385330;pubmed:33103907;pubmed:33477427;pubmed:35710135
CRNAT_20_5Z8Z11Z14Z	pubmed:1618773;pubmed:2039446;pubmed:31385330;pubmed:33103907;pubmed:33477427;pubmed:35710135
CRNAT_20_5Z8Z11Z14Z17Z	pubmed:1618773;pubmed:2039446;pubmed:31385330;pubmed:33103907;pubmed:33477427;pubmed:35710135
CRNAT_20_8Z11Z	pubmed:1618773;pubmed:2039446;pubmed:31385330;pubmed:33103907;pubmed:33477427;pubmed:35710135
CRNAT_20_8Z11Z14Z	pubmed:1618773;pubmed:2039446;pubmed:31385330;pubmed:33103907;pubmed:33477427;pubmed:35710135
CRNAT_20_8Z11Z14Z17Z	pubmed:1618773;pubmed:2039446;pubmed:31385330;pubmed:33103907;pubmed:33477427;pubmed:35710135
CRNAT_20_9Z	pubmed:1618773;pubmed:2039446;pubmed:31385330;pubmed:33103907;pubmed:33477427;pubmed:35710135
CRNAT_21_0	pubmed:1618773;pubmed:2039446;pubmed:31385330;pubmed:33103907;pubmed:33477427;pubmed:35710135
CRNAT_22_0	pubmed:1618773;pubmed:2039446;pubmed:31385330;pubmed:33103907;pubmed:33477427;pubmed:35710135
CRNAT_22_10Z13Z16Z	pubmed:1618773;pubmed:2039446;pubmed:31385330;pubmed:33103907;pubmed:33477427;pubmed:35710135
CRNAT_22_10Z13Z16Z19Z	pubmed:1618773;pubmed:2039446;pubmed:31385330;pubmed:33103907;pubmed:33477427;pubmed:35710135
CRNAT_22_11Z	pubmed:1618773;pubmed:2039446;pubmed:31385330;pubmed:33103907;pubmed:33477427;pubmed:35710135
CRNAT_22_13Z	pubmed:1618773;pubmed:2039446;pubmed:31385330;pubmed:33103907;pubmed:33477427;pubmed:35710135
CRNAT_22_13Z16Z	pubmed:1618773;pubmed:31385330;pubmed:33103907;pubmed:33477427;pubmed:35710135
CRNAT_22_13Z16Z19Z	pubmed:1618773;pubmed:31385330;pubmed:33103907;pubmed:33477427;pubmed:35710135
CRNAT_22_4Z7Z10Z13Z16Z	pubmed:1618773;pubmed:31385330;pubmed:33103907;pubmed:33477427;pubmed:35710135
CRNAT_22_4Z7Z10Z13Z16Z19Z	pubmed:1618773;pubmed:31385330;pubmed:33103907;pubmed:33477427;pubmed:35710135
CRNAT_22_7Z10Z13Z16Z	pubmed:1618773;pubmed:31385330;pubmed:33103907;pubmed:33477427;pubmed:35710135
CRNAT_22_7Z10Z13Z16Z19Z	pubmed:1618773;pubmed:31385330;pubmed:33103907;pubmed:33477427;pubmed:35710135
CRNAT_23_0	pubmed:35710135
CRNAT_24_0	pubmed:35710135
CRNAT_24_12Z15Z18Z21Z	pubmed:35710135
CRNAT_24_15Z	pubmed:35710135
