	metabolites	references
686	Ssq23epx_c	
687	aacACP_c	
688	aacoa_c	
689	aappal_c	
690	abt__L_c	
691	abt__L_e	
692	ac4oacnam_c	
693	ac9oacnam_c	
694	acACP_c	
695	ac_c	
696	ac_e	
697	acac_c	
698	acac_e	
699	acald_c	
700	acald_e	
701	accoa_c	
702	accprot_lys__L_c	
703	accprot_monoubiqlys_c	
704	accprot_ubiqlys_c	
705	acetol_c	
706	acgal_c	
707	acgalfuc12gal14acglcgalgluside_hs_c	
708	acgalfucgalacgalfuc12gal14acglcgalgluside_hs_c	
709	acgalfucgalacgalfucgalacglcgal14acglcgalgluside_hs_c	
710	acgalfucgalacglcgal14acglcgalgluside_hs_c	
711	acgalfucgalacglcgalgluside_hs_c	
712	acgam1p_c	
713	acgam6p_c	
714	acgam_c	
715	acglcgalacglcgal14acglcgalgluside_hs_c	
716	ach_e	
717	acmana_c	
718	acmanap_c	
719	acmet__L_c	
720	acmetala_c	
721	acnam_c	
722	acnam_e	
723	acnamp_c	
724	acrn_c	
725	actp_c	
726	ade_c	
727	ade_e	
728	admarg__L_c	
729	admarg__L_e	
730	adn_c	
731	adn_e	
732	adp_c	
733	adp_e	
734	adpglc_c	
735	adpman_c	
736	adprbp_c	
737	adprbp_e	
738	adprib_c	
739	adprib_e	
740	adpribu_c	
741	adrnchrm_c	
742	adrnchrmsqn_c	
743	adrnl__L_c	
744	adrnl__L_e	
745	adrnlqn__L_c	
746	adrnlsqn__L_c	
747	ag1_c	
748	ag1_e	
749	ahcys__L_c	
750	ahdt_c	
751	aic_c	
752	aic_e	
753	aica_c	
754	aica_e	
755	aicar_c	
756	aicar_e	
757	air_c	
758	akg_c	
759	akg_e	
760	ala_B_c	
761	ala_B_e	
762	ala__L_c	
763	ala__L_e	
764	alapro_c	
765	alatrna_c	
766	alltn_c	
767	alltt_c	
768	amet__L_c	
769	ametam_c	
770	amp_c	
771	amp_e	
772	ampamd_c	
773	anad_c	
774	andrstndn_c	
775	andrstndn_e	
776	andrstrn_c	
777	angiotensin17_c	
778	angiotensin1_c	
779	angiotensin2_c	
780	angiotensin3_c	
781	angiotensin4_c	
782	angiotensin57_c	
783	angiotensin58_c	
784	ap4a_c	
785	ap5a_c	
786	ap6a_c	
787	apoACP_c	
788	aprgstrn_c	
789	aprgstrn_e	
790	aps_c	
791	arab__L_c	
