	genes	drugbank	pubchem.compound
53	ATP2B4	DB00867;DB01159;DB01189;DB01236	3040551;42113;5206
54	ATP6AP1	DB01133	
55	ATP6V0A1	DB01133	
56	ATP6V0C	DB01133	
57	ATP6V1A	DB00630;DB01077;DB01133;DB06733;DB06734	16760285;2088;3305;6436223
58	ATP6V1B2	DB01133;DB05260;DB07347	
59	ATP6V1C1	DB01133;DB01694;DB09552	11102
60	ATP6V1D	DB01133	
61	ATP6V1E1	DB01133	
62	ATP6V1F	DB01133	
63	ATP6V1G1	DB01133	
64	ATP6V1H	DB01133	
65	ATP7A	DB00515;DB00526;DB00958;DB09130	10339178;11947679;5702198
66	ATP7B	DB00515;DB00526;DB00958;DB09130	10339178;11947679;5702198
67	BLVRA	DB00157	
68	BLVRB	DB00140;DB00157;DB02073;DB03247;DB03461;DB04345;DB04363;DB09241	23666409;493570;6099
69	CA1	DB00232;DB00273;DB00310;DB00311;DB00381;DB00423;DB00436;DB00562;DB00606;DB00703;DB00774;DB00819;DB00869;DB00880;DB00909;DB00999;DB01021;DB01031;DB01144;DB01194;DB01325;DB01593;DB08155;DB08156;DB08157;DB08846;DB09460;DB09472;DB14487	10340;11192;1986;2162;2315;24436;2732;2910;3639;3647;4100;4107;4121;5281855;5284549;5284627;5560;5734;60496;6307;6435922;68844;6918132
70	CA2	DB00232;DB00273;DB00311;DB00391;DB00436;DB00482;DB00562;DB00580;DB00606;DB00695;DB00703;DB00774;DB00819;DB00869;DB00880;DB00909;DB00999;DB01021;DB01031;DB01144;DB01194;DB01325;DB01671;DB01748;DB01784;DB01942;DB01964;DB02069;DB02087;DB02220;DB02221;DB02292;DB02429;DB02479;DB02535;DB02602;DB02610;DB02679;DB02861;DB02866;DB02894;DB02986;DB03039;DB03221;DB03262;DB03270;DB03294;DB03333;DB03385;DB03526;DB03594;DB03596;DB03598;DB03697;DB03844;DB03877;DB03904;DB03950;DB03975;DB04002;DB04081;DB04089;DB04180;DB04203;DB04371;DB04394;DB04549;DB04600;DB04601;DB04763;DB06891;DB06954;DB07048;DB07050;DB07363;DB07467;DB07476;DB07596;DB07632;DB07710;DB07742;DB08046;DB08083;DB08155;DB08156;DB08157;DB08165;DB08202;DB08301;DB08329;DB08416;DB08418;DB08645;DB08659;DB08765;DB08782;DB08846;DB09460;DB09472;DB14533;DB14548;DB16021	10340;1176;119607;1986;2315;24436;2662;2910;3440;3639;3647;4100;4121;5281855;5284549;5284627;5355;5560;5734;6307;68844;6918132
71	CA3	DB00273;DB00311;DB00391;DB00482;DB00562;DB00580;DB00606;DB00703;DB00819;DB00869;DB00909;DB01144;DB01194;DB08846;DB12418;DB16021	119607;1986;2662;2910;4100;5281855;5284549;5284627;5355;5734;68844;6918132
72	CA4	DB00232;DB00273;DB00311;DB00436;DB00562;DB00606;DB00703;DB00774;DB00819;DB00869;DB00909;DB01021;DB01144;DB01194;DB08846;DB09460	10340;1986;2315;2910;3647;4100;4121;5281855;5284549;5284627;5560;5734;68844;6918132
73	CACNA1A	DB00153;DB00228;DB00252;DB00421;DB00622;DB00653;DB00661;DB00825;DB00836;DB01054;DB01244;DB04398;DB06283;DB06446;DB06751;DB09089;DB09231;DB09232;DB09235;DB09236;DB09238;DB11093;DB11148;DB11348;DB13746;DB14481	1254;13136;16135415;16666;1712095;1775;24083;2482;2520;3955;4008;41114;4474;4507;50088;5280793;5282138;5311217;5388977;5833;62969;6437861;656667;71420
74	CAD	DB00128;DB00130;DB03459	5961
75	CARS1	DB00151;DB06151	5862
76	CAT	DB01213;DB09061;DB09096;DB09116;DB11091;DB14009;DB14011	3406;44148067;644019;7187
77	CBR1	DB00414;DB00502;DB00694;DB00776;DB00997;DB01039;DB01046;DB01698;DB02709;DB03394;DB03556;DB04216;DB04463;DB04844;DB05197;DB06263;DB09212;DB11672;DB12161;DB13124;DB14635	114897;157920;23663407;30323;3035016;31703;3339;34312;3559;3965;445154;5280343;5280805;52919;6018;62770;969516
78	CBR3	DB00694;DB00776;DB00997;DB12161	30323;31703;34312;62770
79	CD38	DB09331;DB14811;DB16370	
80	CDC42	DB02623;DB04315	
81	CDIPT	DB03106	
82	CDK4	DB02733;DB03496;DB09073;DB11730;DB12001;DB12010;DB15442	11478676;11671467;25008120;44631912;46220502;5287969;5330286;57334219;71576678;9910986
83	CFTR	DB00171;DB00887;DB01016;DB01050;DB01645;DB02587;DB04395;DB04522;DB04941;DB06266;DB08820;DB09213;DB09280;DB11712;DB15444	134587348;15787;16220172;16678941;2471;3488;3672;39562;39912;46199646;47936;5280961;5957
84	CKB	DB00148;DB00300;DB00787;DB13191;DB13749;DB14126	11954236;2022;464205;586;6398764;9548602
